id,plant_name,total_score,perc_score,plant_score,medicinal_score,see_score
1,Withania somnifera,2.781289506953224,81.15086683880487,24.419033566949462,25.0092216894135,31.7226115824419
2,Salvia miltiorrhiza,2.1807838179519594,63.62965695315381,26.6322390261896,15.676872002950942,21.320545924013278
4,Panax ginseng,3.1175726927939316,90.96274437476946,15.566211729988936,43.67392106233862,31.7226115824419
5,Catharanthus roseus,2.5828065739570167,75.35964588712652,42.419771302102546,22.02139431943932,10.918480265584655
6,Andrographis paniculata,2.25031605562579,65.65842862412393,40.20656584286241,9.33234968646256,16.119513094798968
7,Cannabis sativa,2.661188369152971,77.64662486167467,22.353375138325344,33.97270379933603,21.320545924013278
8,Centella asiatica,3.0543615676359037,89.11840649206934,44.632976761342675,28.3659166359277,16.119513094798968
9,Nigella sativa,2.4007585335018966,70.04795278495021,28.91921800073774,25.0092216894135,16.119513094798968
10,Aloe vera,3.2098609355246523,93.6554776835116,35.780154924382146,31.353744005901884,26.521578753227594
11,Hypericum perforatum,2.8798988621997474,84.02803393581705,31.353744005901884,31.353744005901884,21.320545924013278
12,Artemisia annua,2.52338811630847,73.62596827738841,29.140538546661748,28.3659166359277,16.119513094798968
13,Ocimum basilicum,3.1959544879898862,93.24972334931759,42.419771302102546,34.710438952416084,16.119513094798968
14,Panax notoginseng,2.0189633375474085,58.908151973441534,15.566211729988936,22.02139431943932,21.320545924013278
15,Curcuma longa,2.8735777496839443,83.84360014754702,17.779417189229065,34.341571375876065,31.7226115824419
16,Salvia officinalis,3.324905183312263,97.01217263002582,37.99336038362228,37.69826632239026,21.320545924013278
17,Melissa officinalis,3.1441213653603035,91.73736628550351,40.20656584286241,25.0092216894135,26.521578753227594
20,Stevia rebaudiana,2.826801517067004,82.47879011434895,40.20656584286241,31.353744005901884,10.918480265584655
21,Dendrobium officinale,2.4007585335018966,70.04795278495021,26.927333087421612,9.33234968646256,33.78827001106603
22,Bacopa monnieri,2.7117572692793934,79.12209516783474,35.780154924382146,22.02139431943932,21.320545924013278
24,Silybum marianum,3.0012642225031607,87.56916267060126,24.49280708225747,31.353744005901884,31.7226115824419
25,Zingiber officinale,3.09102402022756,90.18812246403542,17.779417189229065,40.68609369236444,31.7226115824419
26,Salvia rosmarinus,2.7901390644753477,81.40907414238289,35.780154924382146,34.710438952416084,10.918480265584655
27,Glycyrrhiza glabra,2.7610619469026547,80.56067871634083,11.139800811508668,37.69826632239026,31.7226115824419
28,Ocimum tenuiflorum,2.9292035398230087,85.46661748432312,35.780154924382146,28.3659166359277,21.320545924013278
30,Thymus vulgaris,3.2983565107458914,96.23755071929178,40.20656584286241,34.710438952416084,21.320545924013278
31,Scutellaria baicalensis,2.718078381795196,79.30652895610476,24.419033566949462,28.3659166359277,26.521578753227594
32,Calotropis procera,1,29.17742530431575,8.926595352268535,9.33234968646256,10.918480265584655
33,Glycyrrhiza uralensis,2.6687737041719344,77.86794540759867,17.779417189229065,28.3659166359277,31.7226115824419
34,Anethum foeniculum,1.5335018963337548,44.74363703430468,24.49280708225747,9.33234968646256,10.918480265584655
35,Allium sativum,3.140328697850822,91.62670601254149,24.419033566949462,40.68609369236444,26.521578753227594
36,Echinacea purpurea,3.131479140328698,91.36849870896349,33.49317594983401,31.353744005901884,26.521578753227594
37,Origanum vulgare,2.213653603034134,64.58871265215788,37.99336038362228,15.676872002950942,10.918480265584655
38,Crocus sativus,2.897597977243995,84.54444854297307,40.0590188122464,28.3659166359277,16.119513094798968
39,Astragalus membranaceus,2.5436156763590394,74.21615639985247,11.139800811508668,31.353744005901884,31.7226115824419
41,Mentha x piperita,3.427307206068268,100,35.780154924382146,37.69826632239026,26.521578753227594
42,Rehmannia glutinosa,2.678887484197219,78.16303946883069,24.419033566949462,22.02139431943932,31.7226115824419
43,Lonicera japonica,2.1757269279393174,63.48210992253781,20.140169679085208,22.02139431943932,21.320545924013278
44,Paris polyphylla,1.7395701643489254,50.75617853190705,13.353006270748802,9.33234968646256,28.070822574695686
45,Picrorhiza kurrooa,1.0758533501896335,31.390630763555883,11.139800811508668,9.33234968646256,10.918480265584655
46,Allium cepa,2.7572692793931735,80.45001844337884,26.6322390261896,37.69826632239026,16.119513094798968
47,Camellia sinensis,3.305941845764855,96.45887126521579,18.074511250461086,46.661748432312805,31.7226115824419
49,Emblica officinalis,1.156763590391909,33.75138325341202,13.500553301364812,9.33234968646256,10.918480265584655
50,Angelica sinensis,2.5170670037926675,73.4415344891184,13.353006270748802,28.3659166359277,31.7226115824419
51,Coriandrum sativum,3.1959544879898862,93.24972334931759,42.419771302102546,34.710438952416084,16.119513094798968
53,Matricaria chamomilla,2.2983565107458914,67.06012541497603,33.419402434526006,12.320177056436739,21.320545924013278
54,Plectranthus barbatus,1.6333754740834387,47.65769088897086,22.20582810770933,9.33234968646256,16.119513094798968
55,Valeriana jatamansi,1.445006321112516,42.16156399852453,15.566211729988936,15.676872002950942,10.918480265584655
56,Cymbopogon citratus,2.447534766118837,71.41276281814828,26.92733308742162,28.3659166359277,16.119513094798968
57,Peganum harmala,1.9026548672566372,55.514570269273335,28.91921800073774,15.676872002950942,10.918480265584655
58,Perilla frutescens,3.0050568900126424,87.67982294356327,37.99336038362228,28.3659166359277,21.320545924013278
59,Portulaca oleracea,3.0543615676359037,89.11840649206934,44.632976761342675,28.3659166359277,16.119513094798968
60,Urtica dioica,2.943109987357775,85.87237181851715,24.640354112873478,34.710438952416084,26.521578753227594
61,Justicia adhatoda,1.5309734513274338,44.669863518996685,18.074511250461086,15.676872002950942,10.918480265584655
