PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Choi, KT; Kim, JH; Cho, HT; Lim, SS; Kwak, SS; Kim, YJ				Choi, Keun Taek; Kim, Jun Ho; Cho, Hyung Taek; Lim, Soon Sung; Kwak, Sun Soon; Kim, Young Jun			Dermatologic evaluation of cosmetic formulations containing Chrysanthemum indicum extract	JOURNAL OF COSMETIC DERMATOLOGY																															1473-2130	1473-2165				JUN	2016	15	2					162	168		10.1111/jocd.12211	http://dx.doi.org/10.1111/jocd.12211								26786567					WOS:000379017300009
J	Singh, A; Kumar, S; Bajpai, V; Reddy, TJ; Rameshkumar, KB; Kumar, B				Singh, Awantika; Kumar, Sunil; Bajpai, Vikas; Reddy, T. Jagadeshwar; Rameshkumar, K. B.; Kumar, Brijesh			Structural characterization of flavonoid C- and O-glycosides in an extract of Adhatoda vasica leaves by liquid chromatography with quadrupole time-of-flight mass spectrometry	RAPID COMMUNICATIONS IN MASS SPECTROMETRY																	Kumar, Prof. Brijesh/A-7485-2012; Kumar, Brijesh/GPP-3392-2022	Kumar, Prof. Brijesh/0000-0003-0271-3445; Kumar, Brijesh/0000-0003-0271-3445; Bajpai, Vikas/0000-0002-6380-0705; Kumar, Dr. Sunil/0000-0002-9993-4609													0951-4198	1097-0231				JUN 30	2015	29	12					1095	1106		10.1002/rcm.7202	http://dx.doi.org/10.1002/rcm.7202								25981540					WOS:000354567700001
J	Jayakodi, M; Lee, SC; Park, HS; Jang, W; Lee, YS; Choi, BS; Nah, GJ; Kim, DS; Natesan, S; Sun, C; Yang, TJ				Jayakodi, Murukarthick; Lee, Sang-Choon; Park, Hyun-Seung; Jang, Woojong; Lee, Yun Sun; Choi, Beom-Soon; Nah, Gyoung Ju; Kim, Do-Soon; Natesan, Senthil; Sun, Chao; Yang, Tae-Jin			Transcriptome profiling and comparative analysis of Panax ginseng adventitious roots	JOURNAL OF GINSENG RESEARCH																	Lee, Yun Sun/AAF-2932-2021; Choi, Beom-Soon/ABC-5378-2021; Jayakodi, Murukarthick/AAY-7252-2020; NATESAN, SENTHIL/AAH-2917-2019; Yang, Tae-Jin/AAT-5274-2020	Jayakodi, Murukarthick/0000-0003-2951-0541; NATESAN, SENTHIL/0000-0002-2930-0715; 													1226-8453	2093-4947				OCT	2014	38	4					278	288		10.1016/j.jgr.2014.05.008	http://dx.doi.org/10.1016/j.jgr.2014.05.008								25379008					WOS:000343616800009
J	Saha, S; Bhattacharjee, P; Mukherjee, S; Mazumdar, M; Chakraborty, S; Khurana, A; Nayak, D; Manchanda, R; Chakrabarty, R; Das, T; Sa, G				Saha, Shilpi; Bhattacharjee, Pushpak; Mukherjee, Shravanti; Mazumdar, Minakshi; Chakraborty, Samik; Khurana, Anil; Nayak, Debadatta; Manchanda, Rajkumar; Chakrabarty, Rathin; Das, Tanya; Sa, Gaurisankar			Contribution of the ROS-p53 feedback loop in thuja-induced apoptosis of mammary epithelial carcinoma cells	ONCOLOGY REPORTS																	Bhattacharjee, Pushpak/AFV-4590-2022; Nayak, Debadatta/AAQ-3462-2021; Manchanda, RajKumar/AAE-5989-2020; Chakraborty, Samik/Q-1779-2018	Nayak, Debadatta/0000-0003-4772-8333; Chakraborty, Samik/0000-0002-5232-0474; Manchanda, Raj Kumar/0000-0001-5589-9170													1021-335X	1791-2431				APR	2014	31	4					1589	1598		10.3892/or.2014.2993	http://dx.doi.org/10.3892/or.2014.2993								24482097					WOS:000334345600013
J	Mosaddegh, MH; Emami, F; Asghari, G				Mosaddegh, Mohammad Hossein; Emami, Fakhrossadat; Asghari, Gholamreza			Evaluation of Residual Diazinon and Chlorpiryfos in Children Herbal Medicines by Headspace-SPME and GC-FID	IRANIAN JOURNAL OF PHARMACEUTICAL RESEARCH																	Emami, Fakhrossadat/AAQ-5365-2020; asghari, gholamreza/V-7705-2017; Asghari, Gholamreza/W-2275-2017; Asghari, Golamreza/W-1714-2017	Asghari, Gholamreza/0000-0001-5867-6829													1735-0328	1726-6890				SPR	2014	13	2					541	549											25237349					WOS:000336731100020
J	You, JS; Lee, YJ; Kim, KS; Kim, SH; Chang, KJ				You, Jeong Soon; Lee, Yun Ju; Kim, Kyoung Soo; Kim, Sung Hoon; Chang, Kyung Jo			Ethanol extract of lotus (Nelumbo nucifera) root exhibits an anti-adipogenic effect in human pre-adipocytes and anti-obesity and anti-oxidant effects in rats fed a high-fat diet	NUTRITION RESEARCH																															0271-5317					MAR	2014	34	3					258	267		10.1016/j.nutres.2014.01.003	http://dx.doi.org/10.1016/j.nutres.2014.01.003								24655493					WOS:000333570700010
J	Javaid, A; Munir, R				Javaid, Arshad; Munir, Rakhshanda			Bioassay Guided Fractionation of Withania somnifera for the Management of Ascochyta rabiei	INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY																	javaid, Arshad/F-5877-2015														1560-8530						2012	14	5					797	800																WOS:000309210600019
J	Praveen, N; Murthy, HN				Praveen, N.; Murthy, H. N.			Synthesis of withanolide A depends on carbon source and medium pH in hairy root cultures of Withania somnifera	INDUSTRIAL CROPS AND PRODUCTS																	Murthy, Hosakatte Niranjana/ABE-5202-2021; Nagella, Praveen/ADJ-0880-2022	Murthy, Hosakatte Niranjana/0000-0002-5503-0202; Nagella, Praveen/0000-0001-6971-0527													0926-6690					JAN	2012	35	1					241	243		10.1016/j.indcrop.2011.07.009	http://dx.doi.org/10.1016/j.indcrop.2011.07.009													WOS:000296110700035
J	Eliza, J; Daisy, P; Ignacimuthu, S				Eliza, J.; Daisy, P.; Ignacimuthu, S.			Antioxidant activity of costunolide and eremanthin isolated from Costus speciosus (Koen ex. Retz) Sm.	CHEMICO-BIOLOGICAL INTERACTIONS																	Ignacimuthu, S/ABH-3983-2020	Ignacimuthu, S/0000-0002-8467-789X													0009-2797	1872-7786				DEC 5	2010	188	3					467	472		10.1016/j.cbi.2010.08.002	http://dx.doi.org/10.1016/j.cbi.2010.08.002								20709041					WOS:000285169100012
J	Ding, JJ; Liu, SB; Qian, WC; Wang, JC; Chu, CY; Wang, JJ; Li, K; Yu, YJ; Xu, GH; Mao, ZS; Xiao, PX; Yu, YF; Chen, F				Ding, Jingjing; Liu, Shoubai; Qian, Weichun; Wang, Jiacheng; Chu, Chunyan; Wang, Juejin; Li, Kai; Yu, Youjia; Xu, Guanhong; Mao, Zhengsheng; Xiao, Pingxi; Yu, Yanfang; Chen, Feng			Swietenine extracted fromSwieteniarelieves myocardial hypertrophy induced by isoprenaline in mice	ENVIRONMENTAL TOXICOLOGY																	Chen, Feng/E-1133-2011; Juejin, Wang/ABA-7017-2020; Wang, Jue/GVU-0480-2022	Chen, Feng/0000-0003-3508-8834; , Kai Li/0000-0002-1317-2341; , Juejin/0000-0003-4921-5451													1520-4081	1522-7278				DEC	2020	35	12					1343	1351		10.1002/tox.22999	http://dx.doi.org/10.1002/tox.22999		JUL 2020						32686902					WOS:000550448400001
