PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Tak, UN; Rashid, S; Kour, P; Nazir, N; Zargar, MI; Dar, AA				Tak, Umar Nabi; Rashid, Showkat; Kour, Pawandeep; Nazir, Nighat; Zargar, Mohammed Iqbal; Dar, Aijaz Ahmad			Bergenia stracheyi extract-based hybrid hydrogels of biocompatible polymers with good adhesive, stretching, swelling, self-healing, antibacterial, and antioxidant properties	INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES																															0141-8130	1879-0003				APR 15	2023	234								123718	10.1016/j.ijbiomac.2023.123718	http://dx.doi.org/10.1016/j.ijbiomac.2023.123718		FEB 2023						36801307					WOS:000948464700001
J	Hovanet, MV; Ozon, EA; Morosan, E; Seremet, OC; Oprea, E; Geana, EI; Anghel, AI; Badiceanu, C; Dutu, LE; Stoicescu, CS; Nagoda, E; Ancuceanu, R				Hovanet, Marilena-Viorica; Ozon, Emma Adriana; Morosan, Elena; Seremet, Oana Cristina; Oprea, Eliza; Geana, Elisabeta-Irina; Anghel, Adriana Iuliana; Badiceanu, Carmellina; Dutu, Ligia Elena; Stoicescu, Cristina Silvia; Nagoda, Eugenia; Ancuceanu, Robert			Wound Healing and Anti-Inflammatory Effects of a Newly Developed Ointment Containing Jujube Leaves Extract	LIFE-BASEL																	Seremet, Oana Cristina/HOC-5083-2023; Eliza, Oprea/AAP-7731-2020	Eliza, Oprea/0000-0001-7051-4136; Geana, Elisabeta-Irina/0000-0003-4909-8574; Carmellina Daniela, Badiceanu/0000-0001-7609-8137; Seremet, Oana Cristina/0000-0002-0816-0012														2075-1729				DEC	2022	12	12							1947	10.3390/life12121947	http://dx.doi.org/10.3390/life12121947								36556312					WOS:000902512100001
J	D'yakova, NA; Slivkin, AI; Trineeva, OV				D'yakova, N. A.; Slivkin, A., I; Trineeva, O., V			From Assessment of Radionuclide Contamination in Herbal Medicine Raw Material of Voronezh Region to Issues Concerning Standardization of Natural Radionuclides	PHARMACEUTICAL CHEMISTRY JOURNAL																															0091-150X	1573-9031				NOV	2022	56	8					1082	1086		10.1007/s11094-022-02757-1	http://dx.doi.org/10.1007/s11094-022-02757-1		NOV 2022											WOS:000881893400003
J	Shewale, S; Undale, V; Shelar, M; Pimple, B; Kuchekar, M; Bhalchim, V; Warude, B				Shewale, Sunil; Undale, Vaishali; Shelar, Maruti; Pimple, Bhushan; Kuchekar, Mohini; Bhalchim, Vrushali; Warude, Bhagyashri			Morphological and anatomical characterization of Plumeria obtusa L.: An Ayurvedic medicinal plant	ANNALS OF PHYTOMEDICINE-AN INTERNATIONAL JOURNAL																	Pimple, Bhushan P/P-7815-2015	Pimple, Bhushan P/0000-0002-3074-9085													2393-9885	2278-9839				JUL-DEC	2022	11	2					787	793		10.54085/ap.2022.11.2.97	http://dx.doi.org/10.54085/ap.2022.11.2.97													WOS:000914834500076
J	Satooka, H; Nihei, KI; Kubo, I				Satooka, Hiroki; Nihei, Ken-ichi; Kubo, Isao			Intracellular oxidation of methyl p-coumarate is involved in anti-melanogenic and cytotoxic activities against melanoma cells	PHYTOCHEMISTRY LETTERS																															1874-3900	1876-7486				AUG	2022	50						89	94		10.1016/j.phytol.2022.05.014	http://dx.doi.org/10.1016/j.phytol.2022.05.014		JUN 2022											WOS:000812163200010
J	Al-Nemi, R; Makki, AA; Sawalha, K; Hajjar, D; Jaremko, M				Al-Nemi, Ruba; Makki, Arwa A.; Sawalha, Khaled; Hajjar, Dina; Jaremko, Mariusz			Untargeted Metabolomic Profiling and Antioxidant Capacities of Different Solvent Crude Extracts of Ephedra foeminea	METABOLITES																	Jaremko, Lukasz/A-3101-2009	Jaremko, Lukasz/0000-0001-7684-9359; Al-Nemi, Ruba/0000-0002-1288-6916; Hajjar, Dina/0000-0003-3901-1172; Jaremko, Mariusz/0000-0002-0787-702X														2218-1989				MAY	2022	12	5							451	10.3390/metabo12050451	http://dx.doi.org/10.3390/metabo12050451								35629955					WOS:000801772200001
J	da Silva, U; Ferreira, B; de Sousa, B; Furlani, G; Barreto, R; Agrizzi, AP; Leite, JP; dos Santos, M; Varejao, E				da Silva, Ueveton; Ferreira, Bruno; de Sousa, Bianca; Furlani, Gabriela; Barreto, Robert; Agrizzi, Ana Paula; Leite, Joao Paulo; dos Santos, Marcelo; Varejao, Eduardo			Extracts of the Native Brazilian Tree Garcinia gardneriana Inhibit Urediniospore Germination of Coffee Leaf Rust Fungus	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY																	Sousa, Bianca Lana de/HTP-8594-2023; Dos Santos, Marcelo Henrique/D-1748-2017	Sousa, Bianca Lana de/0000-0002-7801-490X; Dos Santos, Marcelo Henrique/0000-0003-1440-4340; Ferreira, Bruno Wesley/0000-0002-9295-5714; Leite, Joao/0000-0002-3747-4424													0103-5053	1678-4790				MAR	2022	33	3					217	+		10.21577/0103-5053.20210139	http://dx.doi.org/10.21577/0103-5053.20210139													WOS:000760572900002
J	Liao, CS; Bao, MM; Hasi, Q; Chen, ZJ; Qian, JP; Baigude, H				Liao, Chengsong; Bao, Mingming; Hasi, Qimuge; Chen, Zhijing; Qian, Junping; Baigude, Huricha			The study of ethanol extract of Epilobium angustifolium L. on blood sugar level in type II diabetic rats	PAKISTAN JOURNAL OF PHARMACEUTICAL SCIENCES																	Liao, Chengsong/GRF-0315-2022														1011-601X					MAR	2022	35	2					425	433		10.36721/PJPS.2022.35.2.REG.425-433.1	http://dx.doi.org/10.36721/PJPS.2022.35.2.REG.425-433.1								35642396					WOS:000758253700003
J	Yang, H; Yang, WH; Rong, DW				Yang, Hong; Yang, Wenhui; Rong, Dongwen			The Complete Chloroplast Genome Sequence of Populus fremontii and Application on Colon Cancer by Reducing Wnt/?-Catenin	LATIN AMERICAN JOURNAL OF PHARMACY																															0326-2383						2022	41	9					1691	1697																WOS:000863301800001
J	Chen, HM; Chen, JL; Qi, Y; Chu, SY; Ma, Y; Xu, LN; Lv, SY; Zhang, HH; Yang, DF; Zhu, YH; Mans, DR; Liang, ZS				Chen, Haimin; Chen, Jialing; Qi, Yao; Chu, Siyuan; Ma, Yao; Xu, Linna; Lv, Shiyi; Zhang, Haihua; Yang, Dongfeng; Zhu, Yonghong; Mans, Dennis Ra; Liang, Zongsuo			Endophytic fungus Cladosporium tenuissimum DF11, an efficient inducer of tanshinone biosynthesis in Salvia miltiorrhiza roots	PHYTOCHEMISTRY																	Mans, Dennis/GQP-0917-2022; Chen, Jia-Ling/F-2742-2010	Mans, Dennis/0000-0001-5080-5227; Chen, Haimin/0000-0002-5794-5254; Ma, Yao/0000-0003-0393-5269													0031-9422	1873-3700				FEB	2022	194								113021	10.1016/j.phytochem.2021.113021	http://dx.doi.org/10.1016/j.phytochem.2021.113021		NOV 2021						34826795					WOS:000723419500008
