PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Mishra, B; Chand, S; Sangwan, NS				Mishra, Bhawana; Chand, Sukhmal; Sangwan, Neelam Singh			ROS management is mediated by ascorbate-glutathione-alpha-tocopherol triad in co-ordination with secondary metabolic pathway under cadmium stress in Withania somnifera	PLANT PHYSIOLOGY AND BIOCHEMISTRY																	Sangwan, Neelam/AAF-4010-2021	Mishra, Bhawana/0000-0002-0777-8830; sangwan, Neelam singh/0000-0003-2761-702X													0981-9428					JUN	2019	139						620	629		10.1016/j.plaphy.2019.03.040	http://dx.doi.org/10.1016/j.plaphy.2019.03.040								31035173					WOS:000469896200065
J	Russo, A; Cardile, V; Graziano, ACE; Avola, R; Montenegro, I; Cuellar, M; Villena, J; Madrid, A				Russo, Alessandra; Cardile, Venera; Graziano, Adriana C. E.; Avola, Rosanna; Montenegro, Ivan; Cuellar, Mauricio; Villena, Joan; Madrid, Alejandro			Antigrowth activity and induction of apoptosis in human melanoma cells by Drymis winteri forst extract and its active components	CHEMICO-BIOLOGICAL INTERACTIONS																	loreto, carla/AAC-2711-2019; Graziano, Adriana C E/J-9952-2016	Graziano, Adriana C E/0000-0003-1652-9577; madrid, alejandro/0000-0001-8977-7032; Cuellar, Mauricio/0000-0003-3162-5364; AVOLA, Rosanna/0000-0002-3094-2416													0009-2797	1872-7786				MAY 25	2019	305						79	85		10.1016/j.cbi.2019.03.029	http://dx.doi.org/10.1016/j.cbi.2019.03.029								30935903					WOS:000466711900011
J	Thakur, VV; Tiwari, S; Tripathi, N; Tiwari, G				Thakur, Vishwa Vijay; Tiwari, Sharad; Tripathi, Niraj; Tiwari, Gyanendra			Molecular identification of medicinal plants with amplicon length polymorphism using universal DNA barcodes of the atpF-atpH, trnL and trnH-psbA regions	3 BIOTECH																	Tiwari, Sharad/A-5054-2019; Tripathi, Niraj/ABB-8387-2020	Tiwari, Sharad/0000-0003-1901-8991; Tripathi, Niraj/0000-0002-4474-6184													2190-572X	2190-5738				MAY	2019	9	5							188	10.1007/s13205-019-1724-6	http://dx.doi.org/10.1007/s13205-019-1724-6								31065488					WOS:000466108400004
J	Sedaghati, B; Haddad, R; Bandehpour, M				Sedaghati, Behnam; Haddad, Raheem; Bandehpour, Mojgan			Efficient plant regeneration and Agrobacterium-mediated transformation via somatic embryogenesis in purslane (Portulaca oleracea L.): an important medicinal plant	PLANT CELL TISSUE AND ORGAN CULTURE																	bandehpour, mojgan/O-9744-2019; Haddad, Raheem/Y-2887-2019	bandehpour, mojgan/0000-0002-5479-2846; Sedaghati, Behnam/0000-0002-9250-960X													0167-6857	1573-5044				FEB	2019	136	2					231	245		10.1007/s11240-018-1509-3	http://dx.doi.org/10.1007/s11240-018-1509-3													WOS:000456987100003
J	Yuan, YL; Jiang, N; Li, ZY; Song, ZZ; Yang, ZH; Xue, WH; Zhang, XJ; Du, Y				Yuan, Yong-Liang; Jiang, Neng; Li, Ze-Yun; Song, Zhi-Zhen; Yang, Zhi-Heng; Xue, Wen-Hua; Zhang, Xiao-Jian; Du, Yue			Polyphyllin VI induces apoptosis and autophagy in human osteosarcoma cells by modulation of ROS/JNK activation	DRUG DESIGN DEVELOPMENT AND THERAPY																	Du, Yue/GYQ-8741-2022	Xue, Wenhua/0000-0003-4045-8166													1177-8881						2019	13						3091	3103		10.2147/DDDT.S194961	http://dx.doi.org/10.2147/DDDT.S194961								31695327					WOS:000483088700002
J	Chrastina, A; Baron, VT; Abedinpour, P; Rondeau, G; Welsh, J; Borgstrom, P				Chrastina, Adrian; Baron, Veronique T.; Abedinpour, Parisa; Rondeau, Gaelle; Welsh, John; Borgstrom, Per			Plumbagin-Loaded Nanoemulsion Drug Delivery Formulation and Evaluation of Antiproliferative Effect on Prostate Cancer Cells	BIOMED RESEARCH INTERNATIONAL																	Chrastina, Adrian/AHE-3296-2022	Chrastina, Adrian/0000-0002-4097-9773													2314-6133	2314-6141					2018	2018								9035452	10.1155/2018/9035452	http://dx.doi.org/10.1155/2018/9035452								30534567					WOS:000451156300001
J	Karaoglan, ES; Gundogdu, G; Secme, M; Senol, O; Miloglu, FD; Dodurga, Y; Tufekci, AR				Karaoglan, Esen Sezen; Gundogdu, Gulsah; Secme, Mucahit; Senol, Onur; Miloglu, Fatma Demirkaya; Dodurga, Yavuz; Tufekci, Ali Riza			Eremurus spectabilis, Rich Source of Isoorientin: Isolation, Quantification and Anti-Cancer Activity on SH-SY5Y Neuroblastoma Cells	CURRENT PHARMACEUTICAL ANALYSIS																	Gündoğdu, gülşah/A-6982-2018; Dodurga, Yavuz/C-5054-2014; SEÇME, Mücahit/V-6437-2019	Gündoğdu, gülşah/0000-0002-9924-5176; SEÇME, Mücahit/0000-0002-2084-760X													1573-4129	1875-676X					2018	14	6					578	585		10.2174/1573412913666170822162527	http://dx.doi.org/10.2174/1573412913666170822162527													WOS:000449630900007
J	Jang, HH; Nam, SY; Kim, MJ; Kim, JB; Choi, JS; Kim, HR; Lee, YM				Jang, Hwan Hee; Nam, Song Yee; Kim, Mi Ju; Kim, Jung Bong; Choi, Jeong Sook; Kim, Haeng Ran; Lee, Young Min			Agrimonia pilosa Ledeb. aqueous extract improves impaired glucose tolerance in high-fat diet-fed rats by decreasing the inflammatory response	BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE																																1472-6882				SEP 5	2017	17								442	10.1186/s12906-017-1949-z	http://dx.doi.org/10.1186/s12906-017-1949-z								28870184					WOS:000409200100001
J	Singh, G; Tiwari, M; Singh, SP; Singh, R; Singh, S; Shirke, PA; Trivedi, PK; Misra, P				Singh, Gaurav; Tiwari, Manish; Singh, Surendra P.; Singh, Ruchi; Singh, Surendra; Shirke, Pramod A.; Trivedi, Prabodh K.; Misra, Pratibha			Sterol glycosyltransferases required for adaptation of Withania somnifera at high temperature	PHYSIOLOGIA PLANTARUM																	Singh, Surendra Pratap/AAE-1336-2019; Singh, Ruchi/IQU-8464-2023	Singh, Surendra Pratap/0000-0003-2469-613X; Singh, Gaurav/0000-0002-3798-2111; SINGH, RUCHI/0000-0003-4696-5150; Tiwari, Manish/0000-0002-0546-0757													0031-9317	1399-3054				JUL	2017	160	3					297	311		10.1111/ppl.12563	http://dx.doi.org/10.1111/ppl.12563								28299798					WOS:000403458700005
J	Odeyemi, S; Afolayan, A; Bradley, G				Odeyemi, Samuel; Afolayan, Anthony; Bradley, Graeme			Phytochemical analysis and anti-oxidant activities of Albuca bracteata Jacq. and Albuca setosa Jacq bulb extracts used for the management of diabetes in the Eastern Cape, South Africa	ASIAN PACIFIC JOURNAL OF TROPICAL BIOMEDICINE																	Bradley, Graeme/B-8604-2009; Odeyemi, Samuel/S-3380-2019	Bradley, Graeme/0000-0002-9036-9869; Odeyemi, Samuel/0000-0002-7580-6709													2221-1691	2588-9222				JUN	2017	7	6					577	584		10.1016/j.apjtb.2017.05.013	http://dx.doi.org/10.1016/j.apjtb.2017.05.013													WOS:000405936000011
