PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Farahinia, P; Sadat-Noori, SA; Mortazavian, MM; Soltani, E; Foghi, B				Farahinia, Parisa; Sadat-Noori, Seyed Ahamad; Mortazavian, Mohamad Mandi; Soltani, Elias; Foghi, Behrooz			Hydrotime model analysis of Trachyspermum ammi (L.) Sprague seed germination	JOURNAL OF APPLIED RESEARCH ON MEDICINAL AND AROMATIC PLANTS																	Soltani, Elias/AAP-5571-2020	Mortazavian, Seyed Mohammad Mahdi/0000-0002-4549-3529; Soltani, Elias/0000-0003-0017-6703														2214-7861				MAY	2017	5						88	91		10.1016/j.jarmap.2017.04.004	http://dx.doi.org/10.1016/j.jarmap.2017.04.004													WOS:000406897500012
J	Kumar, V; Moyo, M; Gruz, J; Subrtova, M; Van Staden, J				Kumar, Vijay; Moyo, Mack; Gruz, Jiri; Subrtova, Michaela; Van Staden, Johannes			Phenolic acid profiles and antioxidant potential of Pelargonium sidoides callus cultures	INDUSTRIAL CROPS AND PRODUCTS																	GRÚZ, Jiří/Y-6247-2019; Kumar, Vijay/J-1021-2016; Gruz, Jiri/A-7112-2010; Moyo, Mack/J-1250-2016	GRÚZ, Jiří/0000-0002-8546-9697; Gruz, Jiri/0000-0002-8546-9697; Moyo, Mack/0000-0003-4686-7139; Kumar, Vijay/0000-0002-2081-3485													0926-6690	1872-633X				DEC 23	2015	77						402	408		10.1016/j.indcrop.2015.09.009	http://dx.doi.org/10.1016/j.indcrop.2015.09.009													WOS:000366065200047
J	Sheoran, S; Panda, BP; Admane, PS; Panda, AK; Wajid, S				Sheoran, Sunita; Panda, Bibhu Prasad; Admane, Prasad S.; Panda, Amulya Kumar; Wajid, Saima			Ultrasound-assisted Extraction of Gymnemic Acids from Gymnema sylvestre Leaves and its Effect on Insulin-producing RINm-5F beta Cell Lines	PHYTOCHEMICAL ANALYSIS																	ADMANE, PRASAD/K-7458-2019; Panda, Bibhu Prasad/AAA-4592-2022	Panda, Bibhu Prasad/0000-0001-5110-2945; Panda, Amulya K/0000-0002-3648-1390													0958-0344	1099-1565				MAR-APR	2015	26	2					97	104		10.1002/pca.2540	http://dx.doi.org/10.1002/pca.2540								25469471					WOS:000349963400001
J	Johnson-Ajinwo, OR; Richardson, A; Li, WW				Johnson-Ajinwo, Okiemute Rosa; Richardson, Alan; Li, Wen-Wu			Cytotoxic effects of stern bark extracts and pure compounds from Margaritaria discoidea on human ovarian cancer cell lines	PHYTOMEDICINE																	Richardson, Alan/I-4631-2015; Li, Wen-Wu/AAN-5456-2020; Li, Wen-Wu/G-7259-2011; Johnson-Ajinwo, Okiemute/CAG-2685-2022	Richardson, Alan/0000-0003-1825-3375; Li, Wen-Wu/0000-0002-3706-6068; Li, Wen-Wu/0000-0002-3706-6068; 													0944-7113					JAN 15	2015	22	1					1	4		10.1016/j.phymed.2014.09.008	http://dx.doi.org/10.1016/j.phymed.2014.09.008								25636863					WOS:000348758300001
J	Kim, YB; Thwe, AA; Li, X; Tuan, PA; Zhao, S; Park, CG; Lee, JW; Park, SU				Kim, Yeon Bok; Thwe, Aye Aye; Li, Xiaohua; Tuan, Pham Anh; Zhao, Shicheng; Park, Chun Geon; Lee, Jong Won; Park, Sang Un			Accumulation of Flavonoids and Related Gene Expressions in Different Organs of Astragalus membranaceus Bge	APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY																	Zhao, Shicheng/AAA-3632-2019														0273-2289	1559-0291				AUG	2014	173	8					2076	2085		10.1007/s12010-014-1004-1	http://dx.doi.org/10.1007/s12010-014-1004-1								24903957					WOS:000340591800011
J	Zhang, L; Yu, HX; Zhao, XC; Lin, XF; Tan, C; Cao, GX; Wang, ZW				Zhang, Li; Yu, Huixin; Zhao, Xincan; Lin, Xiufeng; Tan, Chen; Cao, Guoxian; Wang, Zhengwu			Neuroprotective effects of salidroside against beta-amyloid-induced oxidative stress in SH-SY5Y human neuroblastoma cells	NEUROCHEMISTRY INTERNATIONAL																	Zhang, Li/K-2447-2016	Zhang, Li/0000-0002-1740-8833													0197-0186	1872-9754				NOV	2010	57	5					547	555		10.1016/j.neuint.2010.06.021	http://dx.doi.org/10.1016/j.neuint.2010.06.021								20615444					WOS:000282472700010
J	Zobolo, AM				Zobolo, Alpheus Mpilo			Effect of temperature, light intensity and growth regulators on propagation of Ansellia Africana from cuttings	AFRICAN JOURNAL OF BIOTECHNOLOGY																		Zobolo, Alpheus Mpilo/0000-0003-1390-8264													1684-5315					AUG 23	2010	9	34					5566	5574																WOS:000281512100014
J	Luo, HM; Sun, C; Li, Y; Wu, Q; Song, JY; Wang, DL; Jia, XC; Li, RT; Chen, SL				Luo, Hongmei; Sun, Chao; Li, Ying; Wu, Qiong; Song, Jingyuan; Wang, Deli; Jia, Xiaocheng; Li, Rongtao; Chen, Shilin			Analysis of expressed sequence tags from the Huperzia serrata leaf for gene discovery in the areas of secondary metabolite biosynthesis and development regulation	PHYSIOLOGIA PLANTARUM																															0031-9317	1399-3054				MAY	2010	139	1					1	12		10.1111/j.1399-3054.2009.01339.x	http://dx.doi.org/10.1111/j.1399-3054.2009.01339.x								20059733					WOS:000277357700001
J	Dzul-Beh, AD; Uc-Cachon, AH; Gonzalez-Sanchez, AA; Dzib-Baak, HE; Ortiz-Andrade, R; Barrios-Garcia, HB; Jimenez-Delgadillo, B; Molina-Salinas, GM				de Jesus Dzul-Beh, Angel; Humberto Uc-Cachon, Andres; Adolfo Gonzalez-Sanchez, Avel; Eleazar Dzib-Baak, Haziel; Ortiz-Andrade, Rolffy; Barrios-Garcia, Hugo B.; Jimenez-Delgadillo, Bertha; Maria Molina-Salinas, Gloria			Antimicrobial potential of the Mayan medicine plant Matayba oppositifolia (A. Rich.) Britton against antibiotic-resistant priority pathogens	JOURNAL OF ETHNOPHARMACOLOGY																		Jimenez-Delgadillo, Bertha/0000-0002-6886-293X; Dzib Baak, Haziel Eleazar/0000-0002-4697-9707; Barrios-Garcia, Hugo/0000-0001-7590-319X; Dzul Beh, Angel de Jesus/0000-0002-4971-7833													0378-8741	1872-7573				JAN 10	2023	300								115738	10.1016/j.jep.2022.115738	http://dx.doi.org/10.1016/j.jep.2022.115738								36165961					WOS:000880650800034
J	Liang, M; Huo, MH; Guo, Y; Zhang, YY; Xiao, X; Xv, J; Fang, LX; Li, TQ; Wang, H; Dong, SY; Jiang, XW; Yu, WH				Liang, Meng; Huo, Mohan; Guo, Yi; Zhang, Yuyi; Xiao, Xiao; Xv, Jianwen; Fang, Lixue; Li, Tianqi; Wang, Huan; Dong, Siyu; Jiang, Xiaowen; Yu, Wenhui			Aqueous extract of Artemisia capillaris improves non-alcoholic fatty liver and obesity in mice induced by high-fat diet	FRONTIERS IN PHARMACOLOGY																																1663-9812				NOV 28	2022	13								1084435	10.3389/fphar.2022.1084435	http://dx.doi.org/10.3389/fphar.2022.1084435								36518663					WOS:000898131700001
J	Konappa, N; Joshi, SM; Dhamodaran, N; Krishnamurthy, S; Basavaraju, S; Chowdappa, S; Jogaiah, S				Konappa, Narasimhamurthy; Joshi, Shreya M.; Dhamodaran, Nirmaladevi; Krishnamurthy, Soumya; Basavaraju, Sumanth; Chowdappa, Srinivas; Jogaiah, Sudisha			Green synthesis of Callicarpa tomentosa routed zinc oxide nanoparticles and their bactericidal action against diverse phytopathogens	BIOMASS CONVERSION AND BIOREFINERY																															2190-6815	2190-6823				2022 NOV 4	2022										10.1007/s13399-022-03438-5	http://dx.doi.org/10.1007/s13399-022-03438-5		NOV 2022											WOS:000878947200009
J	Lee, SL; Choi, YJ; Lee, S; Kang, KS; Jang, TS; Kim, KH				Lee, Sullim; Choi, Yea Jung; Lee, Seulah; Kang, Ki Sung; Jang, Tae Su; Kim, Ki Hyun			Protective Effects of Withagenin A Diglucoside from Indian Ginseng (Withania somnifera) against Human Dermal Fibroblast Damaged by TNF-a Stimulation	ANTIOXIDANTS																		Choi, Yea Jung/0009-0001-9806-9588; Lee, Sullim/0000-0002-4187-2177; Kim, Ki Hyun/0000-0002-5285-9138														2076-3921				NOV	2022	11	11							2248	10.3390/antiox11112248	http://dx.doi.org/10.3390/antiox11112248													WOS:000912741400001
