PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Kumar, RR; Reddy, LPA; Kumar, JV; Komaraiah, K; Purnanand, S; Sastry, KP				Kumar, R. Ramesh; Reddy, L. Prasanna Anjaneya; Kumar, J. Vinay; Komaraiah, K.; Purnanand, S.; Sastry, K. P.			Multivariate analysis and genetic diversity for morphometric and root textural quality traits in ashwagandha (Withania somnifera Dunal)	INDUSTRIAL CROPS AND PRODUCTS																															0926-6690	1872-633X				JAN	2012	35	1					199	202		10.1016/j.indcrop.2011.06.032	http://dx.doi.org/10.1016/j.indcrop.2011.06.032													WOS:000296110700028
J	Banerjee, AA; Vasu, KK; Pancholi, H; Rajani, M; Nivsarkar, MA				Banerjee, Aryamitra A.; Vasu, Kamala K.; Pancholi, Harit; Rajani, Mandapati; Nivsarkar, Manish A.			DETOXIFICATION OF NERIUM INDICUM ROOTS BASED ON INDIAN SYSTEM OF MEDICINE: PHYTOCHEMICAL AND TOXICITY EVALUATIONS	ACTA POLONIAE PHARMACEUTICA																	Banerjee, Aryamitra/A-1364-2013; Nivsarkar, Manish/AAA-4718-2020	Nivsarkar, Manish/0000-0002-0401-6128													0001-6837					NOV-DEC	2011	68	6					905	911											22125956					WOS:000303947600013
J	Yang, ST; Chen, C; Zhao, YP; Xi, W; Zhou, XL; Chen, BL; Fu, CX				Yang, Shuting; Chen, Chuan; Zhao, Yunpeng; Xi, Wang; Zhou, Xiaolong; Chen, Binlong; Fu, Chengxin			Association between Chemical and Genetic Variation of Wild and Cultivated Populations of Scrophularia ningpoensis Hemsl.	PLANTA MEDICA																	xi, wang/HIZ-7736-2022														0032-0943					MAY	2011	77	8					865	871		10.1055/s-0030-1250601	http://dx.doi.org/10.1055/s-0030-1250601								21157679					WOS:000290784500015
J	Yu, HH; Yang, ZL; Sun, B; Liu, RN				Yu, Hua-Hui; Yang, Zhi-Ling; Sun, Bo; Liu, Ruo-nan			Genetic diversity and relationship of endangered plant Magnolia officinalis (Magnoliaceae) assessed with ISSR polymorphisms	BIOCHEMICAL SYSTEMATICS AND ECOLOGY																															0305-1978	1873-2925				APR	2011	39	2					71	78		10.1016/j.bse.2010.12.003	http://dx.doi.org/10.1016/j.bse.2010.12.003													WOS:000289611200001
J	Yousif, BS; Nguyen, NT; Fukuda, Y; Hakata, H; Okamoto, Y; Masaoka, Y; Saneoka, H				Yousif, Basim S.; Nguyen, T. Nguyen; Fukuda, Yasuko; Hakata, Hiroaki; Okamoto, Yu; Masaoka, Yoshikuni; Saneoka, Hirofumi			Effect of Salinity on Growth, Mineral Composition, Photosynthesis and Water Relations of Two Vegetable Crops; New Zealand Spinach (Tetragonia tetragonioides) and Water Spinach (Ipomoea aquatica)	INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY																															1560-8530	1814-9596				MAR	2010	12	2					211	216																WOS:000278278400008
J	Serkedjieva, J; Nikolova, E; Kirilov, N				Serkedjieva, J.; Nikolova, E.; Kirilov, N.			Synergistic inhibition of Influenza A virus replication by a plant polyphenol-rich extract and epsilon-aminocaproic acid in vitro and in vivo	ACTA VIROLOGICA																															0001-723X	1336-2305					2010	54	2					137	145		10.4149/av_2010_02_137	http://dx.doi.org/10.4149/av_2010_02_137								20545444					WOS:000279588300009
J	Hou, MC; Ma, M				Hou, Mingcai; Ma, Miao			Effect of PEG-simulated Drought Stress on Seed Germination of Three Medicinal Liquorice (Glycyrrhiza) Species	LEGUME RESEARCH																															0250-5371					NOV	2022	45	11					1388	1393		10.18805/LRF-693	http://dx.doi.org/10.18805/LRF-693													WOS:000891314200008
J	Abo-Elyousr, KAM; Saad, MM; Al-Qurashi, AD; Ibrahim, OHM; Mousa, MAA				Abo-Elyousr, Kamal A. M.; Saad, Maged M.; Al-Qurashi, Adel D.; Ibrahim, Omer H. M.; Mousa, Magdi A. A.			Management of Cumin Wilt Caused by Fusarium oxysporum Using Native Endophytic Bacteria	AGRONOMY-BASEL																	Ibrahim, Omer H.M./AAI-8877-2020; Mousa, Magdi/G-6875-2019; Abo-Elyousr, Kamal Ahmed Mohamed/E-1071-2016; Al-qurashi, Adel D/I-7351-2012; Saad, Maged/B-5546-2018	Ibrahim, Omer H.M./0000-0002-6628-219X; Mousa, Magdi/0000-0002-9219-4214; Abo-Elyousr, Kamal Ahmed Mohamed/0000-0002-8425-4790; Al-qurashi, Adel D/0000-0002-0332-5607; Saad, Maged/0000-0002-5655-8674														2073-4395				OCT	2022	12	10							2510	10.3390/agronomy12102510	http://dx.doi.org/10.3390/agronomy12102510													WOS:000872126400001
J	Xu, X; Guo, Y; Chen, SQ; Ma, WL; Xu, XL; Hu, SN; Jin, LF; Sun, JQ; Mao, J; Shen, C				Xu, Xiao; Guo, Ying; Chen, Shaoqin; Ma, Wenliang; Xu, Xinlei; Hu, Shuning; Jin, Lifang; Sun, Jianqiu; Mao, Jian; Shen, Chi			The Positive Influence of Polyphenols Extracted From Pueraria lobata Root on the Gut Microbiota and Its Antioxidant Capability	FRONTIERS IN NUTRITION																	zhan, y/ISA-2807-2023														2296-861X					MAR 29	2022	9								868188	10.3389/fnut.2022.868188	http://dx.doi.org/10.3389/fnut.2022.868188								35425798					WOS:000787204600001
J	Shivashankar, S; Kalman, SM				Shivashankar, Saranya; Kalman, Sangeetha Marimuthu			Identification of Biosimilar for Trimethoprim - Andrographis paniculata Phytochemicals Inhibits Dihydrofolate Reductase (DHFR)	BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY																	Kannan, Sangeetha/HTR-4969-2023	Shivashankar, Saranya/0000-0001-6440-0191													2069-5837					DEC 15	2021	11	6					14142	14154		10.33263/BRIAC116.1414214154	http://dx.doi.org/10.33263/BRIAC116.1414214154													WOS:000640664600032
J	Sharma, H; Singh, AK; Deshwal, GK; Rao, PS; Kumar, MD				Sharma, Heena; Singh, Ashish Kumar; Deshwal, Gaurav Kr; Rao, Priyanka Singh; Kumar, M. Dharani			Functional Tinospora cordifolia (giloy) based pasteurized goat milk beverage: Impact of milk protein-polyphenol interaction on bioactive compounds, anti-oxidant activity and microstructure	FOOD BIOSCIENCE																	Sharma, Heena/M-7596-2019; Deshwal, Gaurav Kr/AEF-5823-2022; SINGH, ASHISH KUMAR/C-2574-2015	Sharma, Heena/0000-0002-4739-185X; Deshwal, Gaurav Kr/0000-0003-3422-6369; SINGH, ASHISH KUMAR/0000-0003-3534-9010													2212-4292	2212-4306				AUG	2021	42								101101	10.1016/j.fbio.2021.101101	http://dx.doi.org/10.1016/j.fbio.2021.101101		JUN 2021											WOS:000687781900004
J	Hasibi, AR; Abdossi, V; Ladanmoghadam, AR; Moradi, P				Hasibi, A. R.; Abdossi, V; Ladanmoghadam, A. R.; Moradi, P.			Effect of drought stress on phytochemical active compound, growth and enzyme activity in Achillea millefolium	EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE																	Moradi, Pezhman/AAS-5508-2021	Moradi, Pezhman/0000-0002-3454-4271; Abdossi, Vahid/0000-0001-9928-9542													1611-4426	1611-4434				JUN	2021	86	3					320	327		10.17660/eJHS.2021/86.3.11	http://dx.doi.org/10.17660/eJHS.2021/86.3.11													WOS:000664798600011
J	Jeyaram, S				Jeyaram, S.			Spectral, third-order nonlinear optical and optical switching behavior of beta-carotenoid extracted from phyllanthus niruri	INDIAN JOURNAL OF PHYSICS																															0973-1458	0974-9845				MAY	2022	96	6					1655	1661		10.1007/s12648-021-02122-0	http://dx.doi.org/10.1007/s12648-021-02122-0		MAY 2021											WOS:000652944600001
J	Gupta, M; Sheikh, J; Annu; Singh, A				Gupta, Mukul; Sheikh, Javed; Annu; Singh, Ankit			An eco-friendly route to develop cellulose-based multifunctional finished linen fabric using ZnO NPs and CS network	JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY																	Shrivastava, Ankit/HLX-9629-2023; singh, ankit/HLG-3132-2023	., Dr Annu/0000-0002-1644-2706													1226-086X	1876-794X				MAY 25	2021	97						383	389		10.1016/j.jiec.2021.02.023	http://dx.doi.org/10.1016/j.jiec.2021.02.023		APR 2021											WOS:000640616000008
J	Mattos, EBD; Pereira, PR; Merida, LAD; Correa, ACNTF; Freire, MPV; Paschoalin, VMF; Teixeira, GAPB; Pinho, MDB; Vericimo, MA				Mattos, Erika Bertozzi de Aquino; Pereira, Patricia Ribeiro; Merida, Lyris Anunciata Demetrio; Correa, Anna Carolina Nitzsche Teixeira Fernandes; Freire, Maria Paula Vigna; Paschoalin, Vania Margaret Flosi; Teixeira, Gerlinde Agate Platais Brasil; Pinho, Maria de Fatima Brandao; Vericimo, Mauricio Afonso			Taro Lectin Can Act as a Cytokine-Mimetic Compound, Stimulating Myeloid and T Lymphocyte Lineages and Protecting Progenitors in Murine Bone Marrow	PHARMACEUTICS																	Pereira, Patricia Ribeiro/AAM-7440-2020; Paschoalin, Vania M F/J-1746-2014; Teixeira, Gerlinde/H-4944-2011	Pereira, Patricia Ribeiro/0000-0002-9008-9904; Paschoalin, Vania M F/0000-0001-6093-134X; Mattos, Erika/0000-0002-4407-1068; Teixeira, Gerlinde/0000-0001-7071-2378; Correa, Anna Carolina/0000-0002-8614-8166; Vericimo, Mauricio/0000-0002-9240-2925														1999-4923				MAR	2021	13	3							350	10.3390/pharmaceutics13030350	http://dx.doi.org/10.3390/pharmaceutics13030350								33800086					WOS:000634072200001
