PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Arpita, M; Zenu, J				Arpita, Mahobia; Zenu, Jha			Effective method of Ri plasmid transformation for hairy root induction in kalmegh	RESEARCH JOURNAL OF BIOTECHNOLOGY																															2278-4535					JAN	2018	13	1					58	64																WOS:000418581300007
J	Efferth, T				Efferth, Thomas			Cancer combination therapies with artemisinin-type drugs	BIOCHEMICAL PHARMACOLOGY					Joint Conference of the 5th International Conference on the Mechanism of Action of Nutraceuticals (ICMAN) / Meeting of the Natural-Products-Section of the International-Union-of-Basic-and-Clinical-Pharmacology (IUPHAR)	SEP 27-29, 2017	Aberdeen, SCOTLAND	Int Union Basic & Clin Pharmacol, Nat Prod Sect										Efferth, Thomas/0000-0002-2637-1681; Efferth, Thomas/0000-0002-3096-3292													0006-2952	1873-2968				SEP 1	2017	139				SI		56	70		10.1016/j.bcp.2017.03.019	http://dx.doi.org/10.1016/j.bcp.2017.03.019								28366726					WOS:000408181400006
J	Ezirganli, S; Kazancioglu, HO; Acar, AH; Ozdemir, H; Kuzu, E; Inan, DS				Ezirganli, Seref; Kazancioglu, Hakki Oguz; Acar, Ahmet Huseyin; Ozdemir, Hakan; Kuzu, Emre; Inan, Deniz Sahin			Effects of Ankaferd BloodStopper on bone healing in an ovariectomized osteoporotic rat model	EXPERIMENTAL AND THERAPEUTIC MEDICINE																	Ozdemir, Hakan/AAG-3194-2021; KUZU, emre/AAR-2840-2020	ozdemir, hakan/0000-0001-9550-1999													1792-0981	1792-1015				MAY	2017	13	5					1827	1831		10.3892/etm.2017.4166	http://dx.doi.org/10.3892/etm.2017.4166								28565774					WOS:000401078200026
J	Khan, A; Sharma, P; Khan, F; Ajayakumar, PV; Shanker, K; Samad, A				Khan, Asifa; Sharma, Pooja; Khan, Feroz; Ajayakumar, P. V.; Shanker, Karuna; Samad, Abdul			In silico and in vitro Studies on Begomovirus Induced Andrographolide Biosynthesis Pathway in Andrographis Paniculata for Combating Inflammation and Cancer	MOLECULAR INFORMATICS																	Shanker, Karuna/D-3596-2009; Khan, Feroz/AHC-3474-2022	Shanker, Karuna/0000-0003-0144-3623; Khan, Feroz/0000-0002-2704-5925													1868-1743	1868-1751				JUL	2016	35	6-7					253	261		10.1002/minf.201501010	http://dx.doi.org/10.1002/minf.201501010								27492239					WOS:000380044200004
J	Klasik-Ciszewska, S; Kaczmarczyk-Sedlak, I; Wojnar, W				Klasik-Ciszewska, Sylwia; Kaczmarczyk-Sedlak, Ilona; Wojnar, Weronika			EFFECT OF GLABRIDIN AND GLYCYRRHIZIC ACID ON HISTOMORPHOMETRIC PARAMETERS OF BONES IN OVARIECTOMIZED RATS	ACTA POLONIAE PHARMACEUTICA																	Borymska, Weronika/K-4803-2019	Borymska, Weronika/0000-0002-3013-7564; Kaczmarczyk-Zebrowska, Ilona/0000-0002-3137-1694													0001-6837	2353-5288				MAR-APR	2016	73	2					517	527											27180445					WOS:000394565000026
J	Nehdi, IA; Sbihi, HM; Tan, CP; Al-Resayes, SI				Nehdi, Imededdine Arbi; Sbihi, Hassen Mohamed; Tan, Chin Ping; Al-Resayes, Saud Ibrahim			Seed oil from Harmal (Rhazya stricta Decne) grown in Riyadh (Saudi Arabia): A potential source of delta-tocopherol	JOURNAL OF SAUDI CHEMICAL SOCIETY																	Tan, Chin-Ping/A-8130-2008; Al-Resayes, Saud/AAY-1510-2021; Nehdi, Imededdine Arbi/H-3204-2011	Tan, Chin-Ping/0000-0003-4177-4072; nehdi, imededdine/0000-0001-9312-4683													1319-6103	2212-4640				JAN	2016	20	1					107	113		10.1016/j.jscs.2014.09.005	http://dx.doi.org/10.1016/j.jscs.2014.09.005													WOS:000370098500016
J	Qadri, M; Deshidi, R; Shah, BA; Bindu, K; Vishwakarma, RA; Riyaz-Ul-Hassan, S				Qadri, Masroor; Deshidi, Ramesh; Shah, Bhawal Ali; Bindu, Kushal; Vishwakarma, Ram A.; Riyaz-Ul-Hassan, Syed			An endophyte of Picrorhiza kurroa Royle ex. Benth, producing menthol, phenylethyl alcohol and 3-hydroxypropionic acid, and other volatile organic compounds	WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY																	Vishwakarma, Aditya/IQR-5679-2023														0959-3993	1573-0972				OCT	2015	31	10					1647	1654		10.1007/s11274-015-1910-6	http://dx.doi.org/10.1007/s11274-015-1910-6								26220851					WOS:000361002700017
J	Kumar, J; Bajaj, P; Mishra, GP; Singh, SB; Singh, H; Naik, PK				Kumar, Jitendra; Bajaj, Prasad; Mishra, Gyan P.; Singh, Shashi Bala; Singh, Harvinder; Naik, Pradeep K.			Utilization of EST-derived SSRs in the genetic characterization of Artemisia annua L. genotypes from Ladakh, India	INDIAN JOURNAL OF BIOTECHNOLOGY																	Kumar, Jitendra/AAR-2486-2021; Mishra, Gyan P./E-5980-2010; Singh, Shashi Bala/AAS-9889-2021	Kumar, Jitendra/0000-0002-1764-3913; Mishra, Gyan P./0000-0002-7023-2638; 													0972-5849	0975-0967				OCT	2014	13	4					464	472																WOS:000349813000006
J	Guo, L; Kong, JQ				Guo, Lei; Kong, Jian-Qiang			cDNA Cloning and Expression Analysis of Farnesyl Pyrophosphate Synthase from Ornithogalum saundersiae	ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A JOURNAL OF BIOSCIENCES																		Kong, Jian-Qiang/0000-0002-6281-6094													0939-5075	1865-7125				MAY-JUN	2014	69	5-6					259	270		10.5560/ZNC.2013-0130	http://dx.doi.org/10.5560/ZNC.2013-0130								25069165					WOS:000338910100011
J	Neumann, J; Boerries, M; Kohler, R; Giaisi, M; Krammer, PH; Busch, H; Li-Weber, M				Neumann, Jennifer; Boerries, Melanie; Koehler, Rebecca; Giaisi, Marco; Krammer, Peter H.; Busch, Hauke; Li-Weber, Min			The natural anticancer compound rocaglamide selectively inhibits the G1-S-phase transition in cancer cells through the ATM/ATR-mediated Chk1/2 cell cycle checkpoints	INTERNATIONAL JOURNAL OF CANCER																	Boerries, Melanie/AAM-2602-2021; Busch, Hauke/R-6452-2016	Busch, Hauke/0000-0003-4763-4521													0020-7136	1097-0215				APR 15	2014	134	8					1991	2002		10.1002/ijc.28521	http://dx.doi.org/10.1002/ijc.28521								24150948					WOS:000330656400024
