PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Rumlerova, T; Friso, F; Romero, JT; Kavenska, V; Politi, M				Rumlerova, Tereza; Friso, Fabio; Romero, Jaime Torres; Kavenska, Veronika; Politi, Matteo			Participant Experiences on a Medicinal Plant Diet at Takiwasi Center: An In-Depth Small-Scale Survey	ANTHROPOLOGY OF CONSCIOUSNESS																		Torres, Jaime/0000-0001-8451-0478; Friso, Fabio/0000-0001-5427-956X													1053-4202	1556-3537				MAR	2022	33	1					38	62		10.1111/anoc.12143	http://dx.doi.org/10.1111/anoc.12143		OCT 2021											WOS:000711495300001
J	Monnais, L; Tousignant, N				Monnais, Laurence; Tousignant, Noemi			The Values of Versatility: Pharmacists, Plants, and Place in the French (Post)Colonial World	COMPARATIVE STUDIES IN SOCIETY AND HISTORY																	Tousignant, Noemi/HSG-4039-2023	Tousignant, Noemi/0000-0003-1341-060X; Monnais, Laurence/0000-0001-9242-2056													0010-4175	1475-2999				APR	2016	58	2					432	462		10.1017/S001041751600013X	http://dx.doi.org/10.1017/S001041751600013X													WOS:000373717300007
J	Monigatti, M; Bussmann, RW; Weckerle, CS				Monigatti, Martina; Bussmann, Rainer W.; Weckerle, Caroline S.			Medicinal plant use in two Andean communities located at different altitudes in the Bolivar Province, Peru	JOURNAL OF ETHNOPHARMACOLOGY																	Bussmann, Rainer W/A-6105-2010	Bussmann, Rainer W/0000-0002-3524-5273; Weckerle, Caroline/0000-0003-4501-170X													0378-8741	1872-7573				JAN 30	2013	145	2					450	464		10.1016/j.jep.2012.10.066	http://dx.doi.org/10.1016/j.jep.2012.10.066								23159468					WOS:000315005300006
J	Craft, R; McClure, KC; Corbett, S; Ferreira, MP; Stiffarm, AM; Kindscher, K				Craft, Rachel; McClure, Katrina C.; Corbett, Steven; Ferreira, Maria Pontes; Stiffarm, Ashley M.; Kindscher, Kelly			Ethnic differences in medicinal plant use among University students: a cross-sectional survey of self-reported medicinal plant use at two Midwest Universities	BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE																																1472-6882				JUN 23	2015	15								192	10.1186/s12906-015-0725-1	http://dx.doi.org/10.1186/s12906-015-0725-1								26100268					WOS:000356571000001
J	Li, LP; Zhang, BG; Xiao, PG; Qi, YD; Zhang, Z; Liu, HT; Li, XJ; Wang, GP; Terwei, A				Li, Liping; Zhang, Bengang; Xiao, Peigen; Qi, Yaodong; Zhang, Zhao; Liu, Haitao; Li, Xiaojin; Wang, Guoping; Terwei, Andre			Patterns and Environmental Determinants of Medicinal Plant : Vascular Plant Ratios in Xinjiang, Northwest China	PLOS ONE																	Li, Liping/C-2574-2011; LIU, HaiTao/C-9706-2015	Li, Liping/0000-0002-5550-1932; 													1932-6203					JUL 8	2016	11	7							e0158405	10.1371/journal.pone.0158405	http://dx.doi.org/10.1371/journal.pone.0158405								27391239					WOS:000380005400055
J	Tahir, MM; Begum, S; Maqbool, M; Khaliq, A; Zahid, N; Mehmood, K; Shehzad, M				Tahir, Majid Mahmood; Begum, Shahida; Maqbool, Mehdi; Khaliq, Abdul; Zahid, Noosheen; Mehmood, Khalid; Shehzad, Muhammad			Evaluation of selected medicinal plant materials and dicyandiamide on nitrification of urea-derived ammonium under laboratory conditions	JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE																	SHEHZAD, MUHAMMAD/AAZ-7229-2021; Tahir, Majid M/D-1691-2012; SHEHZAD, MUHAMMAD/AIC-4929-2022	SHEHZAD, MUHAMMAD/0000-0001-6438-7919; SHEHZAD, MUHAMMAD/0000-0001-6438-7919; Khaliq, Abdul/0000-0001-7984-9370; Zahid, Noosheen/0000-0002-2412-6543; Maqbool, Mehdi/0000-0003-1984-6068													1436-8730	1522-2624				FEB	2021	184	1					132	141		10.1002/jpln.201900501	http://dx.doi.org/10.1002/jpln.201900501		DEC 2020											WOS:000596783600001
J	Pesek, T; Abramiuk, M; Fini, N; Rojas, MO; Collins, S; Cal, V; Sanchez, P; Poveda, L; Arnason, J				Pesek, Todd; Abramiuk, Marc; Fini, Nick; Otarola Rojas, Marco; Collins, Sean; Cal, Victor; Sanchez, Pablo; Poveda, Luis; Arnason, John			Q'eqchi' Maya healers' traditional knowledge in prioritizing conservation of medicinal plants: culturally relative conservation in sustaining traditional holistic health promotion	BIODIVERSITY AND CONSERVATION																	Arnason, John Thor/GXM-3860-2022														0960-3115	1572-9710				JAN	2010	19	1					1	20		10.1007/s10531-009-9696-1	http://dx.doi.org/10.1007/s10531-009-9696-1													WOS:000272614200001
J	Tangjitman, K; Wongsawad, C; Winijchaiyanan, P; Sukkho, T; Kamwong, K; Pongamornkul, W; Trisonthi, C				Tangjitman, Kornkanok; Wongsawad, Chalobol; Winijchaiyanan, Piyawan; Sukkho, Treetip; Kamwong, Kaweesin; Pongamornkul, Wittaya; Trisonthi, Chusie			Traditional knowledge on medicinal plant of the Karen in northern Thailand: A comparative study	JOURNAL OF ETHNOPHARMACOLOGY																															0378-8741	1872-7573				OCT 28	2013	150	1					232	243		10.1016/j.jep.2013.08.037	http://dx.doi.org/10.1016/j.jep.2013.08.037								23999245					WOS:000326998400025
J	Checkouri, E; Ramin-Mangata, S; Diotel, N; Viranaicken, W; Marodon, C; Reignier, F; Silva, CRD; Meilhac, O				Checkouri, Eloise; Ramin-Mangata, Stephane; Diotel, Nicolas; Viranaicken, Wildriss; Marodon, Claude; Reignier, Franck; Robert-Da Silva, Christine; Meilhac, Olivier			Protective Effects of Medicinal Plant Decoctions on Macrophages in the Context of Atherosclerosis	NUTRIENTS																	Meilhac, Olivier/N-4385-2017	RAMIN MANGATA, Stephane/0000-0002-3865-9084; viranaicken, wildriss/0000-0002-0915-8635; Meilhac, Olivier/0000-0002-3740-7539														2072-6643				JAN	2021	13	1							280	10.3390/nu13010280	http://dx.doi.org/10.3390/nu13010280								33478034					WOS:000611089600001
J	Diaz-Reviriego, I; Gonzalez-Segura, L; Fernandez-Llamazares, A; Howard, PL; Molina, JL; Reyes-Garcia, V				Diaz-Reviriego, Isabel; Gonzalez-Segura, Lara; Fernandez-Llamazares, Alvaro; Howard, Patricia L.; Luis Molina, Jose; Reyes-Garcia, Victoria			Social organization influences the exchange and species richness of medicinal plants in Amazonian homegardens	ECOLOGY AND SOCIETY																	Fernández-Llamazares, Álvaro/ABA-6096-2021; Molina, José Luis/ABC-6391-2020; Reyes-Garcia, Victoria/C-4552-2008; Molina, José Luis/A-7463-2008	Molina, José Luis/0000-0002-2932-2690; Reyes-Garcia, Victoria/0000-0002-2914-8055; Molina, José Luis/0000-0002-2932-2690; Howard, Patricia/0000-0002-9215-6146; Fernandez-Llamazares, Alvaro/0000-0002-7813-0222; Diaz-Reviriego, Isabel/0000-0002-0665-3833													1708-3087						2016	21	1							1	10.5751/ES-07944-210101	http://dx.doi.org/10.5751/ES-07944-210101													WOS:000373935100003
J	Smith-Hall, C; Larsen, HO; Pouliot, M				Smith-Hall, Carsten; Larsen, Helle Overgaard; Pouliot, Marieve			People, plants and health: a conceptual framework for assessing changes in medicinal plant consumption	JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE																	Smith-Hall, Carsten/L-6015-2018; Pouliot, Mariève/E-6245-2015; Larsen, Helle Overgaard/E-5640-2011	Smith-Hall, Carsten/0000-0003-3908-3002; Pouliot, Mariève/0000-0002-0611-1743; Larsen, Helle Overgaard/0000-0002-9566-3848														1746-4269				NOV 13	2012	8								43	10.1186/1746-4269-8-43	http://dx.doi.org/10.1186/1746-4269-8-43								23148504					WOS:000315570700001
