PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Chen, SH; Liu, ZM; Li, HX; Xia, GP; Lu, YJ; He, L; Huang, SD; She, ZG				Chen, Senhua; Liu, Zhaoming; Li, Hanxiang; Xia, Guoping; Lu, Yongjun; He, Lei; Huang, Shaodong; She, Zhigang			beta-Resorcylic acid derivatives with alpha-glucosidase inhibitory activity from Lasiodiplodia sp ZJ-HQ(1), an endophytic fungus in the medicinal plant Acanthus ilicifolius	PHYTOCHEMISTRY LETTERS																	liu, zhao/GXV-6141-2022; lll, zzzz/HJY-6145-2023; Li, Hanxiang/ABF-4049-2020	Senhua, Chen/0000-0002-5498-0206													1874-3900	1876-7486				SEP	2015	13						141	146		10.1016/j.phytol.2015.05.019	http://dx.doi.org/10.1016/j.phytol.2015.05.019													WOS:000362174600025
J	Maheshwari, PU; Babu, MR; Basha, SKM				Maheshwari, P. Uma; Babu, M. Ram; Basha, S. K. M.			Medicinal Plant Resources of Lankamalleswara Wild Life Sanctuary, Eastern Ghats, Andhra Pradesh	VEGETOS																															0970-4078	2092-7843				JUN	2012	25	1					94	101																WOS:000208908700020
J	Vinothapooshan, G; Sundar, K				Vinothapooshan, G.; Sundar, K.			Immunomodulatory activity of various extracts of Adhatoda vasica Linn. in experimental rats	AFRICAN JOURNAL OF PHARMACY AND PHARMACOLOGY																	Sundar, Krishnan/E-2748-2015	Sundar, Krishnan/0000-0001-7156-1057													1996-0816					MAR	2011	5	3					306	310		10.5897/AJPP10.126	http://dx.doi.org/10.5897/AJPP10.126													WOS:000295797300003
J	Ou, XB; Liu, G; Wu, LH				Ou, Xiaobin; Liu, Ge; Wu, Li-Hong			The complete chloroplast genome of Hemerocallis citrina (Asphodelaceae), an ornamental and medicinal plant	MITOCHONDRIAL DNA PART B-RESOURCES																																2380-2359				JAN 2	2020	5	1					1109	1110		10.1080/23802359.2020.1726227	http://dx.doi.org/10.1080/23802359.2020.1726227								33366896					WOS:000514367200001
J	Ebessa, V; Tiani, GLM; Tchamgoue, J; Kouam, SF; Ngadjui, BT; Green, IR; Choudhary, MI; Tane, P				Ebessa, Virginie; Tiani, Gesquiere Laure M.; Tchamgoue, Joseph; Kouam, Simeon F.; Ngadjui, Bonaventure T.; Green, Ivan R.; Choudhary, Muhammad I.; Tane, Pierre			Alchornoic acid derivatives from the fruits of Alchornea cordifolia (Schumach. & Thonn.) Muell. Arg. (Euphorbiaceae)	PHYTOCHEMISTRY LETTERS																	Fogue, Simeon Kouam/AAD-7186-2019; Choudhary, M. Iqbal iqbal/C-8633-2012	Choudhary, M. Iqbal iqbal/0000-0001-5356-3585; Tchamgoue, Joseph/0000-0002-0506-9678; Kouam Fogue, Simeon/0000-0003-0191-0527													1874-3900	1876-7486				FEB	2018	23						62	65		10.1016/j.phytol.2017.11.011	http://dx.doi.org/10.1016/j.phytol.2017.11.011													WOS:000426096600013
J	Carvajal, F; Huanca, A; Gonzalez-Teuber, M; Urzua, A; Echeverria, J				Carvajal, Fabiola; Huanca, Andres; Gonzalez-Teuber, Marcia; Urzua, Alejandro; Echeverria, Javier			Uses of hazardous medicinal plants: composition of the essential oil of Clinopodium gilliesii (Benth.) Kuntze (Lamiaceae), collected in Chile	BOLETIN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMATICAS																	González-Teuber, Marcia/ABH-2318-2021; Echeverría, Javier/AAK-3323-2020	González-Teuber, Marcia/0000-0003-0565-9333; Echeverría, Javier/0000-0002-1688-968X; Urzua, Alejandro/0000-0003-2638-0921; Carvajal, Fabiola/0000-0003-1336-5394													0717-7917					SEP	2017	16	5					486	492																WOS:000410591200004
J	Zeljkovic, SC; Karalija, E; Paric, A; Muratovic, E; Tarkowski, P				Zeljkovic, Sanja Cavar; Karalija, Erna; Paric, Adisa; Muratovic, Edina; Tarkowski, Petr			Environmental Factors do not Affect the Phenolic Profile of Hypericum perforatum Growing Wild in Bosnia and Herzegovina	NATURAL PRODUCT COMMUNICATIONS																	Karalija, Erna/AAE-9366-2020; TARKOWSKI, Petr/ADY-5651-2022; Tarkowski, Petr/AAL-7818-2020; Muratovic, Edina/AAF-3575-2019; Cavar Zeljkovic, Sanja/AAL-5576-2020	Karalija, Erna/0000-0001-7262-0645; Tarkowski, Petr/0000-0002-7581-7686; Muratovic, Edina/0000-0002-9828-3517; Cavar Zeljkovic, Sanja/0000-0002-8534-3146													1934-578X	1555-9475				SEP	2017	12	9					1465	1468																WOS:000412968400021
J	Tabaripoor, R; Sheidai, M; Talebi, SM; Noormohammadi, Z				Tabaripoor, Raheleh; Sheidai, Masoud; Talebi, Seyyed Mehdi; Noormohammadi, Zahra			POPULATION GENETIC DIVERSITY AND STRUCTURE IN Ziziphora tenuior L.: IDENTIFICATION OF POTENTIAL GENE POOLS	GENETIKA-BELGRADE																	Noormohammadi, Zahra/AAS-6661-2021; Tabaripour, Raheleh/T-8749-2019	Noormohammadi, Zahra/0000-0003-3890-9001; Tabaripour, Raheleh/0000-0002-3251-2786													0534-0012	1820-6069					2016	48	2					565	578		10.2298/GENSR1602565T	http://dx.doi.org/10.2298/GENSR1602565T													WOS:000389658100010
J	Ren, WC; Xing, NN; Yan, S; Wang, HG; Ma, W				Ren, Weichao; Xing, Nannan; Yan, Song; Wang, Honggang; Ma, Wei			The complete chloroplast genome sequence of Angelica laevigata Fisch.	MITOCHONDRIAL DNA PART B-RESOURCES																	ma, wei/GVU-3235-2022															2380-2359				SEP 2	2021	6	9					2496	2497		10.1080/23802359.2021.1958081	http://dx.doi.org/10.1080/23802359.2021.1958081								34377804					WOS:000678350700001
J	Tyagi, S; Jung, JA; Kim, JS; Kwon, SJ; Won, SY				Tyagi, Swati; Jung, Jae-A; Kim, Jung Sun; Kwon, Soo-Jin; Won, So Youn			The complete chloroplast genome of an economic plant, Chrysanthemum morifolium 'Baekma'	MITOCHONDRIAL DNA PART B-RESOURCES																		Tyagi, Swati/0000-0002-5360-7469														2380-2359				JUL 3	2019	4	2					3133	3134		10.1080/23802359.2019.1666682	http://dx.doi.org/10.1080/23802359.2019.1666682								33365886					WOS:000487229300001
