PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Gurning, K; Situmorang, RFR; Sinaga, ET; Singarimbun, N; Sinaga, SP; Silaban, S				Gurning, Kasta; Situmorang, Risanti Febrine Ropita; Sinaga, Efereddy Temen; Singarimbun, Nurbaiti; Sinaga, Suharni Pintamas; Silaban, Saronom			Determination of Tannins Content and Antibacteria Activity Test of Ethanol Extract of Sirih Merah (Piper Crocatum Ruiz & pay.) Leaf from North Sumatera Province Indonesia	ORIENTAL JOURNAL OF CHEMISTRY																	Situmorang, Risanti Febrine Ropita/AAA-3672-2022; Singarimbun, Nurbaiti Br/HPE-8619-2023; Silaban, Saronom/O-4557-2019; Gurning, Kasta/AEW-4386-2022; Sinaga, Suharni Pintamas/HPE-9055-2023	Situmorang, Risanti Febrine Ropita/0000-0002-6309-2067; Singarimbun, Nurbaiti Br/0000-0002-1078-5820; Silaban, Saronom/0000-0002-8469-3216; Gurning, Kasta/0000-0002-0676-0030; Sinaga, Suharni Pintamas/0000-0002-8432-4808													0970-020X	2231-5039				AUG	2022	38	4					967	971		10.13005/ojc/380418	http://dx.doi.org/10.13005/ojc/380418													WOS:000890217300018
J	Gu, G; Jia, XW; Wang, WX; Li, P; Zhao, SJ; Zhou, ZY; Yin, RY; Lai, DW; Song, SQ; Zhou, LG				Gu, Gan; Jia, Xiaowei; Wang, Weixuan; Li, Peng; Zhao, Siji; Zhou, Zhiyao; Yin, Ruya; Lai, Daowan; Song, Suqin; Zhou, Ligang			Culturable Endophytic Fungi from Glycyrrhiza inflata Distributed in Xinjiang, China with Antifungal Activity	MICROBIOLOGY RESEARCH																	Zhou, Ligang/AAF-1485-2019	Zhou, Ligang/0000-0003-4681-191X; suqin, song/0000-0002-8350-089X; Gu, Gan/0000-0001-8163-327X														2036-7481				DEC	2021	12	4					829	839		10.3390/microbiolres12040060	http://dx.doi.org/10.3390/microbiolres12040060													WOS:000735516100001
J	Zhang, D; Han, YT; Xu, L				Zhang, Di; Han, Yantao; Xu, Luo			Upregulation of miR-124 by physcion 8-O-beta-glucopyranoside inhibits proliferation and invasion of malignant melanoma cells via repressing RLIP76	BIOMEDICINE & PHARMACOTHERAPY																															0753-3322	1950-6007				DEC	2016	84						166	184		10.1016/j.biopha.2016.09.022	http://dx.doi.org/10.1016/j.biopha.2016.09.022								27657824					WOS:000390438100018
J	Chandrashekara, K; Somashekarappa, HM				Chandrashekara, K.; Somashekarappa, H. M.			Po-210 and Pb-210 in medicinal plants in the region of Karnataka, Southern India	JOURNAL OF ENVIRONMENTAL RADIOACTIVITY																	K, Chandrashekara/AAT-3055-2021	K, Chandrashekara/0000-0002-8400-2630													0265-931X	1879-1700				AUG	2016	160						87	92		10.1016/j.jenvrad.2016.04.036	http://dx.doi.org/10.1016/j.jenvrad.2016.04.036								27155527					WOS:000378465500010
J	Zhang, Y; Xu, XM; He, P				Zhang, Yi; Xu, Xiaoman; He, Ping			Tubeimoside-1 inhibits proliferation and induces apoptosis by increasing the Bax to Bcl-2 ratio and decreasing COX-2 expression in lung cancer A549 cells	MOLECULAR MEDICINE REPORTS																															1791-2997	1791-3004				JAN-FEB	2011	4	1					25	29		10.3892/mmr.2010.379	http://dx.doi.org/10.3892/mmr.2010.379								21461558					WOS:000286301100004
J	Lee, KH; Jeong, SY; Park, KH; Kim, SH; Ko, YJ; Kim, JC; Kim, JK; Kim, KH				Lee, Kwang Ho; Jeong, Se Yun; Park, Kun Hee; Kim, Seon-Hee; Ko, Yoon-Joo; Kim, Jin-Chul; Kim, Jung Kyu; Kim, Ki Hyun			Ginkgonitroside, a new nitrophenyl glycoside and bioactive compounds from Ginkgo biloba leaves controlling adipocyte and osteoblast differentiation	BIOORGANIC & MEDICINAL CHEMISTRY LETTERS																	Kim, Jung Kyu/C-3271-2012	Kim, Jung Kyu/0000-0002-8218-0062													0960-894X	1464-3405				OCT 15	2021	50								128322	10.1016/j.bmcl.2021.128322	http://dx.doi.org/10.1016/j.bmcl.2021.128322		AUG 2021						34407463					WOS:000701795800014
J	Zhang, YJ; Ma, KG; Wu, TT; Liu, JY; Gao, J				Zhang, Yanjing; Ma, Kaige; Wu, Tingting; Liu, Jingyu; Gao, Jie			Identification of Cucumber mosaic virus from Arisaema heterophyllum Blume in China	ACTA VIROLOGICA																															0001-723X	1336-2305					2021	65	1					97	100		10.4149/av_2021_112	http://dx.doi.org/10.4149/av_2021_112								33827227					WOS:000662091800012
J	Perez-Vasquez, A; Aguilar-Cruz, R; Bye, R; Linares, E; Rivero-Cruz, I				Perez-Vasquez, Araceli; Aguilar-Cruz, Rocio; Bye, Robert; Linares, Edelmira; Rivero-Cruz, Isabel			UHPLC-MS Analysis of Polyphenols in the Aqueous Extract ofHydrangea seemannii	REVISTA BRASILEIRA DE FARMACOGNOSIA-BRAZILIAN JOURNAL OF PHARMACOGNOSY																	PEREZ, ARACELI/D-8668-2012	PEREZ-VASQUEZ, ARACELI/0000-0003-2085-6335													0102-695X	1981-528X				FEB	2020	30	1					7	11		10.1007/s43450-020-00028-2	http://dx.doi.org/10.1007/s43450-020-00028-2													WOS:000541550400002
J	Han, MJ; Qin, D; Ye, TT; Yan, X; Wang, JQ; Duan, XX; Dong, JY				Han, MeiJun; Qin, Dan; Ye, TianTian; Yan, Xiao; Wang, JunQi; Duan, XiaoXiang; Dong, JinYan			An endophytic fungus from Trichoderma harzianum SWUKD3.1610 that produces nigranoic acid and its analogues	NATURAL PRODUCT RESEARCH																															1478-6419	1478-6427				JUL 18	2019	33	14					2079	2087		10.1080/14786419.2018.1486311	http://dx.doi.org/10.1080/14786419.2018.1486311								29897270					WOS:000472103300014
J	Thakor, P; Mehta, JB; Patel, RR; Patel, DD; Subramanian, RB; Thakkar, VR				Thakor, Parth; Mehta, Japan B.; Patel, Ravi R.; Patel, Disha D.; Subramanian, Ramalingam B.; Thakkar, Vasudev R.			Extraction and purification of phytol from Abutilon indicum: cytotoxic and apoptotic activity	RSC ADVANCES																	Patel, Ravikumar/AAS-4296-2021; Thakor, Parth/F-9108-2015; Patel, Ravikumar/AAU-1665-2021	Thakor, Parth/0000-0002-7477-0177; Patel, Ravikumar/0000-0002-7891-6903; thakkar, vasudev/0000-0003-3864-6926													2046-2069						2016	6	54					48336	48345		10.1039/c5ra24464a	http://dx.doi.org/10.1039/c5ra24464a													WOS:000377257000009
