PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Wang, N; Liu, X; Li, JG; Zhang, QF; Li, X; An, Q; Ye, XM; Zhao, ZT; Cai, L; Han, Y; Zhao, M; Wang, WJ				Wang, Ning; Liu, Xin; Li, Jingen; Zhang, Qingfeng; Li, Xiang; An, Qi; Ye, Ximei; Zhao, Zitong; Cai, Lei; Han, Yi; Zhao, Meng; Wang Wenjun			Antibacterial mechanism of the synergistic combination between streptomycin and alcohol extracts from the Chimonanthus salicifolius S. Y. Hu. leaves	JOURNAL OF ETHNOPHARMACOLOGY																	Zhang, Qing-FENG/F-6875-2015; Wang, Wen-Jun/ACT-5615-2022	Zhang, Qing-FENG/0000-0002-1277-042X; 													0378-8741	1872-7573				MAR 25	2020	250								112467	10.1016/j.jep.2019.112467	http://dx.doi.org/10.1016/j.jep.2019.112467								31837412					WOS:000510954100004
J	Wang, DX; Wang, Q; Chen, RH; Yang, SL; Li, ZF; Feng, YL				Wang, Dongxu; Wang, Qi; Chen, Renhao; Yang, Shinlin; Li, Zhifeng; Feng, Yulin			Exploring the effects of Gastrodia elata Blume on the treatment of cerebral ischemia-reperfusion injury using UPLC-Q/TOF-MS-based plasma metabolomics	FOOD & FUNCTION																	cen, rehual/GZL-8990-2022; guo, yu/GQZ-1392-2022														2042-6496	2042-650X				NOV 1	2019	10	11					7204	7215		10.1039/c9fo01729a	http://dx.doi.org/10.1039/c9fo01729a								31609374					WOS:000497763600018
J	Calzada, F; Solares-Pascasio, JI; Valdes, M; Garcia-Hernandez, N; Velazquez, C; Ordonez-Razo, RM; Barbosa, E				Calzada, Fernando; Ivan Solares-Pascasio, Jesus; Valdes, Miguel; Garcia-Hernandez, Normand; Velazquez, Claudia; Maria Ordonez-Razo, Rosa; Barbosa, Elizabeth			Antilymphoma Potential of the Ethanol Extract and Rutin Obtained of the Leaves from Schinus molle Linn.	PHARMACOGNOSY RESEARCH																	García-Hernández, Normand/AAD-3029-2019; ORDOÑEZ-RAZO, ROSA MARÍA/AAN-9823-2021; Garcia-Hernandez, Normand/B-8766-2019; Barbosa, Elizabeth/B-3097-2018	García-Hernández, Normand/0000-0001-6021-8309; Garcia-Hernandez, Normand/0000-0001-6021-8309; Barbosa, Elizabeth/0000-0002-7111-7922; Valdes Guevara, Miguel Andres/0000-0001-7401-303X; Ordonez-Razo, Rosa Maria/0000-0003-4949-9175; SOLARES PASCASIO, JESUS IVAN/0000-0002-2138-3501													0974-8490	0976-4836				APR-JUN	2018	10	2					119	123		10.4103/pr.pr_90_17	http://dx.doi.org/10.4103/pr.pr_90_17													WOS:000430832600001
J	El Deib, MM; Ali, HA				El Deib, Maha M.; Ali, Haytham A.			MOLECULAR INVESTIGATION OF ANTI-DIABETIC EFFECT OF BALANITES AEGYPTIACA FRUITS IN STREPTOZOTOCIN-INDUCED DIABETIC RATS	SLOVENIAN VETERINARY RESEARCH					3rd International Conference on Veterinary Medicine In-Between Health and Economy (VMHE)	OCT 16-19, 2018	Zagazig Univ, Hurghada, EGYPT		Zagazig Univ								Ali, Haytham A/AAJ-5827-2020	Ali, Haytham A/0000-0003-3549-1789; eldeib, maha/0000-0003-3105-8662													1580-4003						2018	55			20			137	145		10.26873/SVR-638-2018	http://dx.doi.org/10.26873/SVR-638-2018													WOS:000452492700013
J	Duangprompo, W; Aree, K; Itharat, A; Hansakul, P				Duangprompo, Wipada; Aree, Kalaya; Itharat, Arunporn; Hansakul, Pintusorn			Effects of 5,6-Dihydroxy-2,4-Dimethoxy-9,10-Dihydrophenanthrene on G(2)/M Cell Cycle Arrest and Apoptosis in Human Lung Carcinoma Cells	AMERICAN JOURNAL OF CHINESE MEDICINE																															0192-415X	1793-6853					2016	44	7					1473	1490		10.1142/S0192415X16500828	http://dx.doi.org/10.1142/S0192415X16500828								27776429					WOS:000387901300010
J	Li, DD; Hu, B; Wang, Q; Liu, HC; Pan, F; Wu, W				Li, Dandan; Hu, Bo; Wang, Qing; Liu, Hongchang; Pan, Feng; Wu, Wei			Identification and Evaluation of Reference Genes for Accurate Transcription Normalization in Safflower under Different Experimental Conditions	PLOS ONE																		Wu, Wei/0000-0003-3559-1974													1932-6203					OCT 12	2015	10	10							e0140218	10.1371/journal.pone.0140218	http://dx.doi.org/10.1371/journal.pone.0140218								26457898					WOS:000362961100025
J	Lee, S; Lee, YH; Park, JM; Bai, DH; Jang, JK; Park, YS				Lee, Sulhee; Lee, Yong-Hun; Park, Jung-Min; Bai, Dong-Hoon; Jang, Jae Kweon; Park, Young-Seo			Bioconversion of Ginsenosides from Red Ginseng Extract Using Candida allociferrii JNO301 Isolated from Meju	MYCOBIOLOGY																	Park, Young-Seo/AAB-9366-2019	Park, Young-Seo/0000-0002-9930-4201													1229-8093	2092-9323				DEC	2014	42	4					368	375		10.5941/MYCO.2014.42.4.368	http://dx.doi.org/10.5941/MYCO.2014.42.4.368								25606009					WOS:000348651200009
J	Wu, J; Cai, CF; Cheng, FY; Cui, HL; Zhou, H				Wu, Jing; Cai, Changfu; Cheng, Fangyun; Cui, Huliang; Zhou, Hua			Characterisation and development of EST-SSR markers in tree peony using transcriptome sequences	MOLECULAR BREEDING																															1380-3743	1572-9788				DEC	2014	34	4					1853	1866		10.1007/s11032-014-0144-x	http://dx.doi.org/10.1007/s11032-014-0144-x													WOS:000345970200025
J	Shivananjappa, MM; Mhasavade, D; Joshi, MK				Shivananjappa, Mahesh Mysore; Mhasavade, Deepak; Joshi, Manoj Kumar			Aqueous extract of Terminalia arjuna attenuates tert-butyl hydroperoxide-induced oxidative stress in HepG2 cell model	CELL BIOCHEMISTRY AND FUNCTION																	Joshi, Manoj K/G-6736-2018; Shivananjappa, Mahesh/AAB-4888-2021	Shivananjappa, Mahesh/0000-0003-4013-1999													0263-6484					MAR	2013	31	2					129	135		10.1002/cbf.2867	http://dx.doi.org/10.1002/cbf.2867								22961563					WOS:000315890800005
J	Jeong, D; Watari, K; Shirouzu, T; Ono, M; Koizumi, K; Saiki, I; Kim, YC; Tanaka, C; Higuchi, R; Miyamoto, T				Jeong, Dami; Watari, Kousuke; Shirouzu, Takayuki; Ono, Mayumi; Koizumi, Keiichi; Saiki, Ikuo; Kim, Youn-Chul; Tanaka, Chiaki; Higuchi, Ryuichi; Miyamoto, Tomofumi			Studies on Lymphangiogenesis Inhibitors from Korean and Japanese Crude Drugs	BIOLOGICAL & PHARMACEUTICAL BULLETIN																	Koizumi, Keiichi/AAG-6915-2019	Watari, Kosuke/0000-0003-0260-2323													0918-6158					JAN	2013	36	1					152	157		10.1248/bpb.b12-00871	http://dx.doi.org/10.1248/bpb.b12-00871								23302649					WOS:000313027300027
