PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Rehman, RU; Chaudhary, MF; Rizvi, ZF; Ul Haq, I; Zia, M				Rehman, Riaz Ur; Chaudhary, Muhammad Fayyaz; Rizvi, Zarrin Fatima; Ul Haq, Ihsan; Zia, Muhammad			IN VITRO PROPAGATION OF CHUNGAH (CARALLUMA TUBERCULATA NE BROWN)	PAKISTAN JOURNAL OF BOTANY																	Zia, Muhammad/C-8412-2013; Rizvi, Zarrin/AAO-5682-2020	Zia, Muhammad/0000-0002-4878-6810; 													0556-3321	2070-3368				DEC	2014	46	6					2189	2194																WOS:000347627500036
J	Li, Y; Gao, ZR; Piao, CL; Lu, KW; Wang, ZP; Cui, ML				Li, Ying; Gao, Zhenrui; Piao, Chunlan; Lu, Kaiwen; Wang, Zhiping; Cui, Min-Long			A Stable and Efficient Agrobacterium tumefaciens-Mediated Genetic Transformation of the Medicinal Plant Digitalis purpurea L.	APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY																	cui, min/HGD-8340-2022														0273-2289	1559-0291				FEB	2014	172	4					1807	1817		10.1007/s12010-013-0648-6	http://dx.doi.org/10.1007/s12010-013-0648-6								24272685					WOS:000333248000007
J	Goncalves, S; Gomes, D; Costa, P; Romano, A				Goncalves, Sandra; Gomes, Diogo; Costa, Patricia; Romano, Anabela			The phenolic content and antioxidant activity of infusions from Mediterranean medicinal plants	INDUSTRIAL CROPS AND PRODUCTS																	Romano, Anabela/C-1157-2013; Gonçalves, Sandra/M-6988-2017	Romano, Anabela/0000-0002-7204-7428; Gonçalves, Sandra/0000-0002-3038-4434; Costa, Patricia/0000-0001-9246-5611													0926-6690	1872-633X				MAY	2013	43						465	471		10.1016/j.indcrop.2012.07.066	http://dx.doi.org/10.1016/j.indcrop.2012.07.066													WOS:000311865000070
J	Uniyal, SK				Uniyal, Sanjay Kr			Bark removal and population structure of Taxus wallichiana Zucc. in a temperate mixed conifer forest of western Himalaya	ENVIRONMENTAL MONITORING AND ASSESSMENT																															0167-6369	1573-2959				APR	2013	185	4					2921	2928		10.1007/s10661-012-2760-4	http://dx.doi.org/10.1007/s10661-012-2760-4								22773145					WOS:000315736500004
J	Chaotham, C; Chivapat, S; Chaikitwattana, A; De-Eknamkul, A				Chaotham, Chatchai; Chivapat, Songpol; Chaikitwattana, Anan; De-Eknamkul, Andwanchai			Acute and Chronic Oral Toxicity of a Partially Purified Plaunotol Extract from Croton stellatopilosus Ohba	BIOMED RESEARCH INTERNATIONAL																	De-Eknamkul, Wanchai/C-2579-2009	Chaotham, Chatchai/0000-0002-3206-192X; Apipattanavis, Somkiat/0000-0002-0447-7151													2314-6133	2314-6141					2013	2013								303162	10.1155/2013/303162	http://dx.doi.org/10.1155/2013/303162								24286075					WOS:000325585000001
J	Yang, SY; Wang, HM; Wu, TW; Chen, YJ; Shieh, JJ; Lin, JH; Ho, TF; Luo, RJ; Chen, CY; Chang, CC				Yang, Shu-Yi; Wang, Hui-Min; Wu, Tai-Wen; Chen, Yi-Ju; Shieh, Jeng-Jer; Lin, Ju-Hwa; Ho, Tsing-Fen; Luo, Ren-Jie; Chen, Chung-Yi; Chang, Chia-Che			Subamolide B Isolated from Medicinal Plant Cinnamomum subavenium Induces Cytotoxicity in Human Cutaneous Squamous Cell Carcinoma Cells through Mitochondrial and CHOP-Dependent Cell Death Pathways	EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE																	Shieh, Jeng-Jer/AAX-6903-2020	Shieh, Jeng-Jer/0000-0001-8412-3603; Wang, Hui-Min/0000-0002-4692-4917; Chen, Yi-Ju/0000-0001-8932-5095; Chang, Chia-Che/0000-0003-3509-3713													1741-427X	1741-4288					2013	2013								630415	10.1155/2013/630415	http://dx.doi.org/10.1155/2013/630415								23573140					WOS:000316494000001
J	Seow, LJ; Beh, HK; Majid, AMSA; Murugaiyah, V; Ismail, N; Asmawi, MZ				Seow, Lay-Jing; Beh, Hooi-Kheng; Majid, Amin Malik Shah Abdul; Murugaiyah, Vikneswaran; Ismail, Norhayati; Asmawi, Mohd Zaini			Anti-angiogenic activity of Gynura segetum leaf extracts and its fractions	JOURNAL OF ETHNOPHARMACOLOGY																	Seow, Lay Jing/H-6793-2016	Seow, Lay Jing/0000-0002-6740-0530; Abdul Majid, Amin Malik Shah/0000-0001-7499-2258; Murugaiyah, Vikneswaran/0000-0003-1768-7577													0378-8741					MAR 24	2011	134	2					221	227		10.1016/j.jep.2010.12.007	http://dx.doi.org/10.1016/j.jep.2010.12.007								21167271					WOS:000289329500004
J	Rai, N; Gupta, P; Verma, A; Singh, SK; Gautam, V				Rai, Nilesh; Gupta, Priyamvada; Verma, Ashish; Singh, Santosh Kumar; Gautam, Vibhav			Isolation and characterization of N-(2-Hydroxyethyl)hexadecanamide from Colletotrichum gloeosporioides with apoptosis-inducing potential in breast cancer cells	BIOFACTORS																		Rai, Nilesh/0000-0003-0431-9150; Gautam, Vibhav/0000-0001-7956-9555													0951-6433	1872-8081				2023 FEB 6	2023										10.1002/biof.1940	http://dx.doi.org/10.1002/biof.1940		FEB 2023						36744732					WOS:000932462500001
J	Pressi, G; Rigillo, G; Governa, P; Borgonetti, V; Baini, G; Rizzi, R; Guarnerio, C; Bertaiola, O; Frigo, M; Merlin, M; Paltrinieri, S; Zambonin, R; Pandolfo, S; Biagi, M				Pressi, Giovanna; Rigillo, Giovanna; Governa, Paolo; Borgonetti, Vittoria; Baini, Giulia; Rizzi, Raffaella; Guarnerio, Chiara; Bertaiola, Oriana; Frigo, Marco; Merlin, Matilde; Paltrinieri, Stefania; Zambonin, Roberto; Pandolfo, Stefano; Biagi, Marco			A Novel Perilla frutescens (L.) Britton Cell-Derived Phytocomplex Regulates Keratinocytes Inflammatory Cascade and Barrier Function and Preserves Vaginal Mucosal Integrity In Vivo	PHARMACEUTICS																	RIGILLO, GIOVANNA/B-6604-2016; Governa, Paolo/M-1883-2014	RIGILLO, GIOVANNA/0000-0002-8853-4431; Governa, Paolo/0000-0002-5976-780X; Borgonetti, Vittoria/0000-0002-2203-5285														1999-4923				JAN	2023	15	1							240	10.3390/pharmaceutics15010240	http://dx.doi.org/10.3390/pharmaceutics15010240								36678869					WOS:000927163300001
J	Peng, DL; Geng, BY; Qin, YB; Yang, LE; Baskin, CC; Baskin, JM				Peng, De-Li; Geng, Bo -Yang; Qin, Ying-Bo; Yang, Li-E; Baskin, Carol C.; Baskin, Jerry M.			Ecophysiology of seed dormancy and germination in the alpine-subalpine medicinal plant species Sinopodophyllum hexandrum (Royle) T. S. Ying	JOURNAL OF APPLIED RESEARCH ON MEDICINAL AND AROMATIC PLANTS																	Boyang, Geng/HIR-1477-2022	Boyang, Geng/0000-0002-2204-6857														2214-7861				FEB	2023	32								100448	10.1016/j.jarmap.2022.100448	http://dx.doi.org/10.1016/j.jarmap.2022.100448		DEC 2022											WOS:000903950800001
