"","...1","id","plant_name","uid","count","part","duration","medicinal_activites","products","population","clinical_trial_count","median_height","pop_status","activities"
"64",64,64,"Zanthoxylum armatum",67938,38,NA,NA,NA,NA,NA,0,5,"LC",NA
"65",65,65,"Aegle marmelos",68527,37,NA,NA,NA,NA,NA,0,10,"NT",319
"66",66,66,"Gastrodia elata",91201,37,NA,NA,NA,NA,NA,4,NA,"VU",177
"67",67,67,"Houttuynia cordata",16752,37,NA,NA,NA,NA,NA,1,NA,"DD",527
"68",68,68,"Solanum nigrum",4112,37,NA,NA,NA,NA,NA,6,0.6,"DD",316
"69",69,69,"Calendula officinalis",41496,36,NA,NA,NA,NA,NA,3,0.4,"DD",471
"70",70,70,"Psidium guajava",120290,36,NA,NA,NA,NA,NA,7,10,"LC",731
"71",71,71,"Trachyspermum ammi",52570,36,NA,NA,NA,NA,NA,0,NA,"DD",288
"72",72,72,"Nelumbo nucifera",4432,35,NA,NA,NA,NA,NA,2,NA,"DD",NA
"73",73,73,"Zataria multiflora",751877,35,NA,NA,NA,NA,NA,2,NA,"DD",12
"74",74,74,"Lavandula angustifolia",39329,34,NA,NA,NA,NA,NA,100,0.38,"LC",357
"75",75,75,"Morus alba",3498,34,NA,NA,NA,NA,NA,3,10,"LC",684
"76",76,76,"Rhodiola rosea",203015,34,NA,NA,NA,NA,NA,7,0.15,"LC",NA
"77",77,77,"Schisandra chinensis",50507,34,NA,NA,NA,NA,NA,4,5,"DD",423
"78",78,78,"Acorus calamus",4465,33,NA,NA,NA,NA,NA,0,1.2,"LC",486
"79",79,79,"Clitoria ternatea",43366,33,NA,NA,NA,NA,NA,1,NA,"DD",72
"80",80,80,"Morinda citrifolia",43522,33,NA,NA,NA,NA,NA,8,6.096,"LC",442
"81",81,81,"Myrtus communis",119949,33,NA,NA,NA,NA,NA,0,1.135,"LC",371
"82",82,82,"Plantago ovata",185002,33,NA,NA,NA,NA,NA,3,0.025,"LC",222
"83",83,83,"Punica granatum",22663,33,NA,NA,NA,NA,NA,102,6.096,"LC",NA
"84",84,84,"Vitex negundo",361442,33,NA,NA,NA,NA,NA,1,1.5,"LC",NA
"85",85,85,"Capparis spinosa",65558,32,NA,NA,NA,NA,NA,0,0.75,"LC",479
"86",86,86,"Citrullus colocynthis",252529,32,NA,NA,NA,NA,NA,1,1.65,"DD",389
"87",87,87,"Hibiscus sabdariffa",183260,32,NA,NA,NA,NA,NA,18,1.5,"DD",NA
"88",88,88,"Lantana camara",126435,32,NA,NA,NA,NA,NA,0,2,"DD",349
"89",89,89,"Lessertia frutescens",47091,32,NA,NA,NA,NA,NA,1,1.7,"DD",NA
"90",90,90,"Lycium barbarum",112863,32,NA,NA,NA,NA,NA,10,2.25,"DD",177
"91",91,91,"Mentha arvensis",292239,32,NA,NA,NA,NA,NA,2,0.41,"LC",448
"92",92,92,"Syzygium cumini",260142,32,NA,NA,NA,NA,NA,2,18.288,"LC",NA
"93",93,93,"Teucrium polium",1117157,32,NA,NA,NA,NA,NA,0,0.19,"DD",381
"94",94,94,"Annona muricata",13337,31,NA,NA,NA,NA,NA,6,8,"LC",NA
"95",95,95,"Cuminum cyminum",52462,31,NA,NA,NA,NA,NA,16,0.25,"DD",536
"96",96,96,"Gymnanthemum amygdalinum",82755,31,NA,NA,NA,NA,NA,1,8,"DD",NA
"97",97,97,"Hippophae rhamnoides",193516,31,NA,NA,NA,NA,NA,9,2.375,"LC",426
"98",98,98,"Mucuna pruriens",157652,31,NA,NA,NA,NA,NA,3,NA,"DD",72
"99",99,99,"Swertia chirayita",137887,31,NA,NA,NA,NA,NA,2,NA,"DD",NA
"100",100,100,"Tetrastigma hemsleyanum",1006121,31,NA,NA,NA,NA,NA,0,NA,"DD",NA
