"","id","plant_name","uid","count","height","part","duration","medicinal_activites","products","population","clinical_trial_count","median_height"
"38",38,"Crocus sativus",82528,54,NA,NA,NA,NA,NA,NA,3,0.15
"39",39,"Astragalus membranaceus",649199,53,NA,NA,NA,NA,NA,NA,24,NA
"40",40,"Gymnema sylvestre",4068,52,NA,NA,NA,NA,NA,NA,7,4
"41",41,"Mentha x piperita",34256,50,NA,NA,NA,NA,NA,NA,48,NA
"42",42,"Rehmannia glutinosa",99300,50,NA,NA,NA,NA,NA,NA,1,NA
"43",43,"Lonicera japonica",105884,48,NA,NA,NA,NA,NA,NA,2,0.3048
"44",44,"Paris polyphylla",49666,47,NA,NA,NA,NA,NA,NA,0,NA
"45",45,"Picrorhiza kurrooa",195120,47,NA,NA,NA,NA,NA,NA,0,NA
"46",46,"Allium cepa",4679,46,NA,NA,NA,NA,NA,NA,22,0.7
"47",47,"Camellia sinensis",4442,43,NA,NA,NA,NA,NA,NA,363,3
"48",48,"Cyclocarya paliurus",117167,43,NA,NA,NA,NA,NA,NA,1,30
"49",49,"Emblica officinalis",296036,43,NA,NA,NA,NA,NA,NA,6,1.8
"50",50,"Angelica sinensis",165353,42,NA,NA,NA,NA,NA,NA,2,NA
"51",51,"Coriandrum sativum",4047,42,NA,NA,NA,NA,NA,NA,3,0.5
"52",52,"Eucommia ulmoides",4392,41,NA,NA,NA,NA,NA,NA,0,20
"53",53,"Matricaria chamomilla",98504,41,NA,NA,NA,NA,NA,NA,26,0.4195
"54",54,"Plectranthus barbatus",41228,41,NA,NA,NA,NA,NA,NA,2,NA
"55",55,"Valeriana jatamansi",59170,41,NA,NA,NA,NA,NA,NA,14,NA
"56",56,"Cymbopogon citratus",66014,39,NA,NA,NA,NA,NA,NA,5,NA
"57",57,"Peganum harmala",43879,39,NA,NA,NA,NA,NA,NA,0,0.175
"58",58,"Perilla frutescens",48386,39,NA,NA,NA,NA,NA,NA,2,NA
"59",59,"Portulaca oleracea",46147,39,NA,NA,NA,NA,NA,NA,1,0.1
"60",60,"Urtica dioica",3501,39,NA,NA,NA,NA,NA,NA,7,1.0015464945
"61",61,"Justicia adhatoda",141317,38,NA,NA,NA,NA,NA,NA,0,3
"62",62,"Matricaria chamomilla var. recutita",127986,38,NA,NA,NA,NA,NA,NA,0,NA
"63",63,"Murraya koenigii",159030,38,NA,NA,NA,NA,NA,NA,0,3
"64",64,"Zanthoxylum armatum",67938,38,NA,NA,NA,NA,NA,NA,0,5
"65",65,"Aegle marmelos",68527,37,NA,NA,NA,NA,NA,NA,0,10
"66",66,"Gastrodia elata",91201,37,NA,NA,NA,NA,NA,NA,4,NA
"67",67,"Houttuynia cordata",16752,37,NA,NA,NA,NA,NA,NA,1,NA
"68",68,"Solanum nigrum",4112,37,NA,NA,NA,NA,NA,NA,6,0.6
"69",69,"Calendula officinalis",41496,36,NA,NA,NA,NA,NA,NA,3,0.4
"70",70,"Psidium guajava",120290,36,NA,NA,NA,NA,NA,NA,7,10
"71",71,"Trachyspermum ammi",52570,36,NA,NA,NA,NA,NA,NA,0,NA
"72",72,"Nelumbo nucifera",4432,35,NA,NA,NA,NA,NA,NA,2,NA
"73",73,"Zataria multiflora",751877,35,NA,NA,NA,NA,NA,NA,2,NA
"74",74,"Lavandula angustifolia",39329,34,NA,NA,NA,NA,NA,NA,100,0.38
"75",75,"Morus alba",3498,34,NA,NA,NA,NA,NA,NA,3,10
"76",76,"Rhodiola rosea",203015,34,NA,NA,NA,NA,NA,NA,7,0.15
"77",77,"Schisandra chinensis",50507,34,NA,NA,NA,NA,NA,NA,4,5
"78",78,"Acorus calamus",4465,33,NA,NA,NA,NA,NA,NA,0,1.2
"79",79,"Clitoria ternatea",43366,33,NA,NA,NA,NA,NA,NA,1,NA
"80",80,"Morinda citrifolia",43522,33,NA,NA,NA,NA,NA,NA,8,6.096
"81",81,"Myrtus communis",119949,33,NA,NA,NA,NA,NA,NA,0,1.135
"82",82,"Plantago ovata",185002,33,NA,NA,NA,NA,NA,NA,3,0.025
"83",83,"Punica granatum",22663,33,NA,NA,NA,NA,NA,NA,102,6.096
