"Chemical Name","Activity Count","Plant Part","Low Parts Per Million","High Parts Per Million","Standard Deviation",Reference
POTASSIUM,14,Seed,3670.0,16652.0,0.36,"Duke, 1992 *"
PROLINE,0,Rhizome,1360.0,6500.0,1.00,"Duke, 1992 *"
PROLINE,0,Seed,3440.0,10424.0,-0.18,"Duke, 1992 *"
PRONUCIFERINE,3,Seed,"not available","not available","not available","Duke, 1992 *"
PROTEIN,0,Fruit,172000.0,191111.0,1.09,"Duke, 1992 *"
PROTEIN,0,Rhizome,26000.0,167000.0,0.34,"Duke, 1992 *"
PROTEIN,0,Seed,41300.0,242000.0,0.07,"Duke, 1992 *"
PUFA,4,Rhizome,200.0,955.0,-1.00,"Duke, 1992 *"
PUFA,4,Seed,3120.0,9454.0,-0.73,"Duke, 1992 *"
QUERCETIN,176,Flower,"not available","not available","not available","Duke, 1992 *"
QUERCETIN-3-GLUCURONIDE,0,Flower,"not available","not available","not available","Duke, 1992 *"
RAFFINOSE,1,Rhizome,"not available","not available","not available","Duke, 1992 *"
REDUCING-SUGARS,0,Fruit,24000.0,26667.0,-1.16,"Duke, 1992 *"
REDUCING-SUGARS,0,Rhizome,15600.0,96296.0,1.00,"Duke, 1992 *"
RIBOFLAVIN,15,Rhizome,0.6,3.7,-0.42,"Duke, 1992 *"
RIBOFLAVIN,15,Seed,0.4,2.6,-0.35,"Duke, 1992 *"
ROBININ,10,Plant,"not available","not available","not available","Duke, 1992 *"
ROEMERINE,0,Leaf,"not available","not available","not available","Duke, 1992 *"
RUTIN,87,Embryo,"not available","not available","not available","Duke, 1992 *"
SERINE,1,Rhizome,600.0,2870.0,1.00,"Duke, 1992 *"
SERINE,1,Seed,2520.0,7636.0,-0.56,"Duke, 1992 *"
SFA,0,Seed,880.0,2667.0,-0.55,"Duke, 1992 *"
SODIUM,1,Rhizome,395.0,1935.0,1.60,"Duke, 1992 *"
SODIUM,1,Seed,10.0,490.0,0.06,"Duke, 1992 *"
STACHYOSE,1,Rhizome,"not available","not available","not available","Duke, 1992 *"
STARCH,5,Rhizome,92500.0,570988.0,0.87,"Duke, 1992 *"
STEARIC-ACID,8,Rhizome,10.0,50.0,-1.00,"Duke, 1992 *"
SUCROSE,14,Fruit,41000.0,45556.0,-0.42,"Duke, 1992 *"
SUCROSE,14,Rhizome,4100.0,25309.0,-0.62,"Duke, 1992 *"
TANNIC-ACID,41,Rhizome,"not available","not available","not available","Duke, 1992 *"
THIAMIN,31,Rhizome,2.2,14.0,1.56,"Duke, 1992 *"
THIAMIN,31,Seed,1.5,7.5,0.22,"Duke, 1992 *"
THREONINE,4,Rhizome,510.0,2440.0,1.00,"Duke, 1992 *"
THREONINE,4,Seed,2000.0,6060.0,-0.46,"Duke, 1992 *"
TRIGONELLINE,15,Rhizome,"not available","not available","not available","Duke, 1992 *"
TRYPTOPHAN,29,Rhizome,200.0,955.0,1.00,"Duke, 1992 *"
TRYPTOPHAN,29,Seed,590.0,1788.0,-0.52,"Duke, 1992 *"
TYROSINE,8,Rhizome,290.0,1390.0,1.00,"Duke, 1992 *"
TYROSINE,8,Seed,1000.0,3030.0,-1.09,"Duke, 1992 *"
VALINE,3,Rhizome,550.0,2630.0,-1.00,"Duke, 1992 *"
VALINE,3,Seed,2660.0,8061.0,-0.49,"Duke, 1992 *"
WATER,0,Rhizome,750000.0,838000.0,0.71,"Duke, 1992 *"
WATER,0,Seed,143000.0,80200.0,-0.57,"Duke, 1992 *"
ZINC,77,Seed,"not available",28.0,-0.49,"Duke, 1992 *"
