,id,uid,sci_name,kingdom
157,477,3735,Moringa oleifera,33090
158,479,246360,Commiphora wightii,33090
159,480,34199,Aloe vera,33090
160,485,4058,Catharanthus roseus,33090
161,489,157934,Ophiorrhiza pumila,33090
162,493,124779,Kadsura angustifolia,33090
163,496,2974054,Ruscus hyrcanus,33090
164,497,59038,Scadoxus puniceus,33090
165,498,1926966,Baccharis genistelloides subsp. crispa,33090
166,501,81800,Drimia indica,33090
167,502,165199,Actinidia callosa,33090
168,503,1073321,Saraca asoca,33090
169,504,119829,Astragalus mongholicus,33090
170,505,141317,Justicia adhatoda,33090
171,508,2583432,Ferulago stellata,33090
172,510,227910,Taxillus sutchuenensis,33090
173,513,337188,Przewalskia tangutica,33090
174,514,96455,Persicaria tinctoria,33090
175,516,272846,Asparagus racemosus,33090
176,517,137888,Swertia mussotii,33090
177,518,65561,Hypericum perforatum,33090
178,519,55670,Stevia rebaudiana,33090
179,520,2711148,Polyscias filicifolia,33090
180,521,1281418,Ipomoea staphylina,33090
181,524,354617,Ibervillea sonorae,33090
182,527,108377,Sida rhombifolia,33090
183,530,1114304,Satureja khuzistanica,33090
184,532,1081520,Monteverdia ilicifolia,33090
185,532,1352902,Aniba rosaeodora,33090
186,535,66014,Cymbopogon citratus,33090
187,536,43522,Morinda citrifolia,33090
188,537,371349,Ferula gummosa,33090
189,538,327332,Liparis nervosa,33090
190,539,285590,Tinospora cordifolia,33090
191,540,2321367,Endopleura uchi,33090
192,541,206309,Sesbania grandiflora,33090
193,543,159030,Murraya koenigii,33090
194,544,545371,Rauvolfia tetraphylla,33090
195,545,4217,Arctium lappa,33090
196,547,2759587,Adiantum nelumboides,33090
197,548,126910,Withania somnifera,33090
198,549,79158,Ammodaucus leucotrichus,33090
199,550,107240,Scoparia dulcis,33090
200,552,392637,Salvia scrophulariifolia,33090
201,553,2873749,Mesostemma dichotomum,33090
202,554,72187,Hylomecon japonica,33090
203,555,334703,Euphorbia lugardae,33090
204,556,185002,Plantago ovata,33090
205,558,1610806,Isodon wightii,33090
206,559,50507,Schisandra chinensis,33090
207,563,54835,Leucojum aestivum,33090
208,564,1640437,Zanthoxylum rhetsum,33090
209,579,4307,Euonymus alatus,33090
210,581,123464,Reissantia grahamii,33090
211,582,1288013,Erythrina suberosa,33090
212,583,119260,Cinnamomum aromaticum,33090
213,584,175694,Andrographis paniculata,33090
214,585,278077,Bergenia ciliata,33090
215,586,947972,Aster koraiensis,33090
216,589,126641,Gymnotheca involucrata,33090
217,590,3649,Carica papaya,33090
218,590,714457,Clinacanthus nutans,33090
219,592,283121,Flueggea virosa,33090
220,593,260636,Orthosiphon stamineus,33090
221,595,71650,Pinus roxburghii,33090
222,601,94286,Platycodon grandiflorus,33090
223,603,2575812,Rhododendron anthopogonoides,33090
224,604,483232,Coscinium fenestratum,33090
225,607,1043417,Hypericum elodeoides,33090
226,608,43711,Murraya paniculata,33090
227,609,29783,Bouvardia ternifolia,33090
228,610,34199,Aloe vera,33090
229,612,4060,Rauvolfia serpentina,33090
230,614,213405,Ardisia gigantifolia,33090
231,615,1504638,Elsholtzia rugulosa,33090
232,617,34199,Aloe vera,33090
233,618,161756,Isatis tinctoria,33090
234,619,510832,Gentianella acuta,33090
235,620,126910,Withania somnifera,33090
236,623,1136989,Hypericum laricifolium,33090
237,624,263974,Bacopa monnieri,33090
238,628,50883,Aconitum taronense,33090
239,630,1501474,Stephania viridiflavens,33090
240,631,152363,Sinomenium acutum,33090
241,633,174503,Bredemeyera floribunda,33090
242,634,1117157,Teucrium polium,33090
243,636,49666,Paris polyphylla,33090
244,637,427660,Gelsemium elegans,33090
245,640,52451,Bupleurum chinense,33090
246,642,34199,Aloe vera,33090
247,643,1184223,Dicoma anomala,33090
248,646,253616,Epimedium sagittatum,33090
249,647,161395,Cistanche deserticola,33090
250,648,279771,Aconitum violaceum,33090
251,649,86317,Artemisia rupestris,33090
252,650,4076,Datura stramonium,33090
253,651,355589,Huperzia serrata,33090
254,652,1486033,Baccharis trimera,33090
255,653,1385695,Annona sylvatica,33090
256,655,278077,Bergenia ciliata,33090
257,657,54724,Hansenia weberbaueriana,33090
258,660,278672,Symphytum officinale,33090
259,664,2788934,Angelica glauca,33090
260,666,143198,Echinops spinosissimus,33090
261,667,13427,Cichorium intybus,33090
262,669,640772,Anemoclema glaucifolium,33090
263,672,126643,Gymnotheca chinensis,33090
264,675,483143,Biancaea sappan,33090
265,676,4217,Arctium lappa,33090
266,680,447484,Hemsleya amabilis,33090
267,681,118431,Dianthus chinensis,33090
268,684,587669,Isodon rubescens,33090
269,685,119170,Blumea riparia,33090
270,687,260636,Orthosiphon stamineus,33090
271,688,259893,Artemisia argyi,33090
272,689,459629,Embelia ribes,33090
273,690,296036,Phyllanthus emblica,33090
274,694,82206,Agave amica,33090
275,697,136217,Curcuma longa,33090
276,701,240184,Rheum spiciforme,33090
277,702,1340046,Callicarpa nudiflora,33090
278,704,82755,Gymnanthemum amygdalinum,33090
279,705,224054,Thymelaea lythroides,33090
280,707,50174,Ximenia americana,33090
281,709,65561,Hypericum perforatum,33090
282,710,228704,Vincetoxicum lindleyi,33090
283,711,50182,Juniperus chinensis,33090
284,714,99300,Rehmannia glutinosa,33090
285,715,124943,Azadirachta indica,33090
286,716,153348,Lepidium meyenii,33090
287,717,4202,Sambucus nigra,33090
288,718,99300,Rehmannia glutinosa,33090
289,719,307165,Selaginella uncinata,33090
290,720,146541,Chloranthus henryi,33090
291,721,447484,Hemsleya amabilis,33090
292,722,76098,Asarum sieboldii,33090
293,725,1417791,Pelargonium sidoides,33090
294,726,2743239,Combretum leprosum,33090
295,730,483831,Leucas lavandulifolia,33090
296,733,693374,Hygrophila polysperma,33090
297,736,230192,Solanum lyratum,33090
298,739,344871,Chrysanthemum boreale,33090
299,743,271884,Antirhea borbonica,33090
300,744,648862,Aspidopterys obcordata,33090
301,751,671526,Waltheria indica,33090
302,752,294739,Mentha pulegium,33090
303,754,77074,Martynia annua,33090
304,755,443222,Toona sinensis,33090
305,756,74613,Glycyrrhiza uralensis,33090
306,763,49666,Paris polyphylla,33090
307,764,418402,Pseudostellaria heterophylla,33090
308,768,165353,Angelica sinensis,33090
309,770,225785,Colchicum luteum,33090
310,771,714457,Clinacanthus nutans,33090
311,773,75953,Lactuca indica,33090
312,779,39388,Verbascum thapsus,33090
313,780,147273,Taxus wallichiana,33090
314,783,60093,Vinca minor,33090
315,784,458696,Tripterygium wilfordii,33090
316,786,39358,Prunella vulgaris,33090
317,788,76974,Atalantia buxifolia,33090
318,790,653064,Bauhinia monandra,33090
319,791,159386,Nothapodytes nimmoniana,33090
320,792,447484,Hemsleya amabilis,33090
321,793,1652688,Kadsura philippinensis,33090
322,794,354507,Orixa japonica,33090
323,795,85363,Aconitum carmichaelii,33090
324,797,199392,Baeckea frutescens,33090
325,800,356275,Naregamia alata,33090
326,804,714503,Sophora tonkinensis,33090
327,807,52862,Thevetia peruviana,33090
328,808,1898706,Getonia floribunda,33090
329,810,49666,Paris polyphylla,33090
330,811,119828,Hedysarum polybotrys,33090
331,812,1553915,Paramignya trimera,33090
332,813,73976,Asteriscus graveolens,33090
333,815,1704624,Croton megalocarpoides,33090
334,816,458696,Tripterygium wilfordii,33090
335,819,201515,Caryopteris mongholica,33090
336,820,158555,Aristolochia manshuriensis,33090
337,822,2928425,Scorzonera radiata,33090
338,823,126435,Lantana camara,33090
339,824,108357,Sida acuta,33090
340,825,586110,Gaultheria fragrantissima,33090
341,826,72152,Centaurea stoebe,33090
342,827,427660,Gelsemium elegans,33090
343,828,108362,Sida cordifolia,33090
344,829,41496,Calendula officinalis,33090
345,833,193516,Hippophae rhamnoides,33090
346,834,323025,Croton antisyphiliticus,33090
347,835,2448053,Eclipta alba,33090
348,836,768177,Dracocephalum heterophyllum,33090
