id,uid,sci_name,kingdom
340,418402,Pseudostellaria heterophylla,33090
342,180010,Stachys byzantina,33090
344,328401,Zanthoxylum bungeanum,33090
347,3735,Moringa oleifera,33090
348,212708,Euonymus japonicus,33090
349,44586,Panax notoginseng,33090
350,59067,Ruscus aculeatus,33090
353,210367,Thesium chinense,33090
354,54796,Argemone mexicana,33090
355,396367,Scutellaria barbata,33090
357,141541,Carissa carandas,33090
358,510735,Crataegus pinnatifida,33090
360,185493,Ilex asprella,33090
362,210380,Mesua ferrea,33090
367,141467,Calotropis procera,33090
371,52462,Cuminum cyminum,33090
375,1249515,Hemerocallis citrina,33090
378,59502,Rubus sachalinensis,33090
381,80913,Kalanchoe pinnata,33090
384,65409,Scutellaria baicalensis,33090
385,182084,Gynostemma pentaphyllum,33090
386,1533225,Nepeta nuda,33090
391,994907,Alstonia venenata,33090
392,74654,Rosa roxburghii,33090
393,3311,Ginkgo biloba,33090
394,39352,Origanum vulgare,33090
396,418402,Pseudostellaria heterophylla,33090
401,1045167,Smilax perfoliata,33090
402,63812,Peumus boldus,33090
403,555479,Nigella sativa,33090
404,3369,Cryptomeria japonica,33090
405,226208,Salvia miltiorrhiza,33090
407,199623,Alpinia officinarum,33090
409,48386,Perilla frutescens,33090
410,33113,Atropa belladonna,33090
412,39350,Ocimum basilicum,33090
413,124778,Illicium verum,33090
414,83800,Cardiocrinum giganteum,33090
416,172057,Centaurium erythraea,33090
418,179860,Nardostachys jatamansi,33090
421,35899,Galium odoratum,33090
423,142612,Dendrobium devonianum,33090
426,67938,Zanthoxylum armatum,33090
427,80894,Kalanchoe beharensis,33090
428,1811969,Artemisia vestita,33090
429,58029,Cephalotaxus harringtonia,33090
431,39350,Ocimum basilicum,33090
432,187269,Adenophora triphylla,33090
433,85864,Magnolia officinalis,33090
436,41644,Santolina chamaecyparissus,33090
437,41486,Atractylodes lancea,33090
438,219240,Gomphocarpus fruticosus,33090
438,378904,Leonotis leonurus,33090
440,265354,Rhodiola sachalinensis,33090
444,1400985,Bignonia potosina,33090
444,1639869,Thouinia paucidentata,33090
449,298644,Crataegus azarolus,33090
451,126435,Lantana camara,33090
452,41571,Echinops ritro,33090
458,39324,Dracocephalum officinale,33090
463,412922,Satureja spicigera,33090
466,1042234,Vicia villosa subsp. varia,33090
466,4043,Petroselinum crispum,33090
468,2382139,Asteracantha longifolia,33090
469,39329,Lavandula angustifolia,33090
470,86303,Portulacaria afra,33090
473,186521,Sorbus commixta,33090
474,41622,Gerbera piloselloides,33090
475,198785,Pentadesma butyracea,33090
476,290213,Euphrasia officinalis,33090
477,701470,Echium amoenum,33090
478,78707,Bletilla striata,33090
479,72645,Molineria capitulata,33090
484,569774,Anoectochilus roxburghii,33090
487,3735,Moringa oleifera,33090
491,416196,Citrus australasica,33090
492,912614,Acmella paniculata,33090
495,42345,Phoenix dactylifera,33090
500,67938,Zanthoxylum armatum,33090
504,230707,Alpinia purpurata,33090
512,284363,Rheum australe,33090
513,94328,Zingiber officinale,33090
516,53719,Eclipta prostrata,33090
518,189796,Tamarix laxa,33090
520,3097545,Gentiana crassa subsp. rigescens,33090
526,649199,Astragalus membranaceus,33090
528,413686,Bauhinia forficata,33090
530,263974,Bacopa monnieri,33090
530,58860,Tamarindus indica,33090
531,1531355,Rubia alata,33090
531,1531357,Rubia ovatifolia,33090
534,68527,Aegle marmelos,33090
535,180066,Dipsacus asperoides,33090
536,555479,Nigella sativa,33090
536,185002,Plantago ovata,33090
536,63459,Chenopodium quinoa,33090
537,190884,Iberis amara,33090
538,136217,Curcuma longa,33090
542,126910,Withania somnifera,33090
543,531827,Aesculus chinensis var. wilsonii,33090
544,34199,Aloe vera,33090
547,346985,Senna obtusifolia,33090
564,72402,Senna alexandrina,33090
571,405319,Piper sarmentosum,33090
572,3077,Chlorella vulgaris,33090
573,119829,Astragalus mongholicus,33090
574,124789,Schisandra henryi,33090
575,436207,Arnica montana,33090
575,41492,Bellis perennis,33090
576,371349,Ferula gummosa,33090
578,483232,Coscinium fenestratum,33090
579,224178,Suaeda monoica,33090
580,231030,Dendrocalamus strictus,33090
581,199544,Isodon serra,33090
582,2602221,Berberis crataegina,33090
585,73200,Pelargonium graveolens,33090
588,279180,Castanopsis chinensis,33090
589,1679252,Tabernaemontana corymbosa,33090
591,4068,Gymnema sylvestre,33090
593,262757,Morella rubra,33090
594,3483,Cannabis sativa,33090
596,40708,Paeonia emodi,33090
598,159034,Clausena anisata,33090
598,124943,Azadirachta indica,33090
600,159698,Anacyclus pyrethrum,33090
601,22663,Punica granatum,33090
603,233706,Manilkara hexandra,33090
607,2303480,Platostoma palustre,33090
611,50192,Sonchus arvensis,33090
612,457826,Pueraria tuberosa,33090
618,82528,Crocus sativus,33090
619,168183,Costus pictus,33090
619,151065,Dodonaea viscosa,33090
621,175694,Andrographis paniculata,33090
625,174649,Rumex crispus,33090
628,156522,Gentianopsis barbata,33090
630,39270,Agastache mexicana,33090
631,555479,Nigella sativa,33090
632,4058,Catharanthus roseus,33090
635,130414,Piper retrofractum,33090
638,591090,Viola inconspicua,33090
639,226208,Salvia miltiorrhiza,33090
641,3821,Cajanus cajan,33090
642,296036,Emblica officinalis,33090
643,136217,Curcuma longa,33090
648,211151,Cyanthillium cinereum,33090
649,65561,Hypericum perforatum,33090
651,49992,Thymus vulgaris,33090
652,165353,Angelica sinensis,33090
654,126418,Forsythia suspensa,33090
655,2153058,Montrichardia linifera,33090
656,57653,Acer tegmentosum,33090
659,3349183,Rubia tibetica,33090
660,38868,Salvia officinalis,33090
663,46147,Portulaca oleracea,33090
664,1224218,Ocimum kilimandscharicum,33090
669,226208,Salvia miltiorrhiza,33090
670,41486,Atractylodes lancea,33090
674,85363,Aconitum carmichaelii,33090
675,363517,Swertia thomsonii,33090
676,174970,Uvaria chamae,33090
677,516549,Fagopyrum dibotrys,33090
678,81800,Drimia indica,33090
679,361442,Vitex negundo,33090
681,65561,Hypericum perforatum,33090
684,38868,Salvia officinalis,33090
685,2171726,Plectranthus ornatus,33090
686,568785,Thymus daenensis,33090
687,79837,Cymbopogon martini,33090
688,72166,Sageretia thea,33090
691,80913,Kalanchoe pinnata,33090
692,3237189,Aquarius macrophyllus,33090
693,4392,Eucommia ulmoides,33090
694,43366,Clitoria ternatea,33090
697,54827,Berula erecta,33090
704,2499693,Tetraena simplex,33090
709,35924,Paeonia lactiflora,33090
710,3483,Cannabis sativa,33090
711,3311,Ginkgo biloba,33090
712,122810,Lagerstroemia speciosa,33090
713,482967,Bergenia purpurascens,33090
717,2849586,Anethum foeniculum,33090
718,1573921,Dichrocephala integrifolia,33090
719,36610,Cydonia oblonga,33090
721,142615,Dendrobium officinale,33090
722,136217,Curcuma longa,33090
727,67918,Toona ciliata,33090
729,1569396,Eremanthus crotonoides,33090
730,587401,Ardisia mamillata,33090
731,44685,Panax japonicus,33090
732,141467,Calotropis procera,33090
733,105884,Lonicera japonica,33090
734,3483,Cannabis sativa,33090
741,259381,Blighia sapida,33090
742,99363,Potamogeton nodosus,33090
744,106132,Panax vietnamensis,33090
751,649199,Astragalus membranaceus,33090
753,751864,Satureja thymbrifolia,33090
755,35875,Allium fistulosum,33090
758,3663,Cucurbita pepo,33090
760,82312,Lilium brownii,33090
761,447485,Hemsleya chinensis,33090
764,43575,Uncaria rhynchophylla,33090
765,1304680,Lonicera insularis,33090
767,172057,Centaurium erythraea,33090
