"","sci_name","uid","count"
"179","Commiphora wightii",246360,20
"180","Cullen corylifolium",429560,20
"181","Elwendia persica",377494,20
"182","Kaempferia galanga",97750,20
"183","Kalanchoe pinnata",80913,20
"184","Mangifera indica",29780,20
"185","Mitragyna speciosa",170351,20
"186","Rhus coriaria",298661,20
"187","Solanum virginianum",223891,20
"188","Sophora flavescens",49840,20
"189","Abelmoschus esculentus",455045,19
"190","Aconitum carmichaelii",85363,19
"191","Anethum graveolens",40922,19
"192","Biancaea sappan",483143,19
"193","Dendrobium huoshanense",154293,19
"194","Euphorbia hirta",318062,19
"195","Eurycoma longifolia",458531,19
"196","Fallopia multiflora",76025,19
"197","Hemidesmus indicus",63476,19
"198","Juglans regia",51240,19
"199","Lepidium sativum",33125,19
"200","Marrubium vulgare",41230,19
"201","Nardostachys jatamansi",179860,19
"202","Paeonia ostii",459177,19
"203","Pueraria montana var. lobata",3893,19
"204","Rosa x damascena",3765,19
"205","Senna alata",53923,19
"206","Tropaeolum majus",4020,19
"207","Viscum album",3972,19
"208","Agastache rugosa",39271,18
"209","Angelica dahurica",48101,18
"210","Apocynum venetum",377125,18
"211","Cissus quadrangularis",165298,18
"212","Curcuma caesia",508682,18
"213","Ficus carica",3494,18
"214","Gentiana crassa subsp. rigescens",3097545,18
"215","Moeroris amara",293060,18
"216","Pelargonium sidoides",1417791,18
"217","Petroselinum crispum",4043,18
"218","Piper longum",49511,18
"219","Salvadora persica",4326,18
"220","Syzygium aromaticum",219868,18
"221","Ziziphus spina",3128664,18
"222","Achyranthes aspera",240005,17
"223","Anacardium occidentale",171929,17
"224","Aralia elata",82095,17
"225","Artemisia dracunculus",72341,17
"226","Bupleurum chinense",52451,17
"227","Chlorophytum borivilianum",503355,17
"228","Epimedium sagittatum",253616,17
"229","Ficus deltoidea",182111,17
"230","Huperzia serrata",355589,17
"231","Jatropha curcas",180498,17
"232","Linum usitatissimum",4006,17
"233","Olea europaea",4146,17
"234","Origanum majorana",268884,17
"235","Pelargonium graveolens",73200,17
"236","Akebia trifoliata",155132,16
"237","Apium graveolens",4045,16
"238","Artemisia afra",72333,16
"239","Cajanus cajan",3821,16
"240","Dysphania ambrosioides",330163,16
"241","Eucalyptus globulus",34317,16
"242","Pistacia lentiscus",371726,16
"243","Rosa roxburghii",74654,16
"244","Ruta graveolens",37565,16
"245","Solanum torvum",119830,16
"246","Tamarindus indica",58860,16
"247","Ajuga bracteosa",1585251,15
"248","Boesenbergia rotunda",97729,15
"249","Centaurium erythraea",172057,15
"250","Chamaenerion angustifolium",13055,15
"251","Chelidonium majus",71251,15
"252","Datura stramonium",4076,15
"253","Ficus religiosa",66387,15
"254","Humulus lupulus",3486,15
"255","Lagenaria siceraria",3668,15
"256","Lepidium meyenii",153348,15
"257","Persea americana",3435,15
"258","Pfaffia glomerata",221785,15
"259","Physalis peruviana",126903,15
"260","Ruta chalepensis",452790,15
"261","Sambucus nigra",4202,15
"262","Trillium govanianum",82485,15
"263","Vitex agnus-castus",54477,15
"264","Wurfbainia villosa",199627,15
"265","Areca catechu",184783,14
"266","Blainvillea acmella",1205696,14
"267","Borago officinalis",13363,14
"268","Calotropis gigantea",4066,14
"269","Celastrus paniculatus",994668,14
"270","Cistanche deserticola",161395,14
"271","Codonopsis lanceolata",103999,14
"272","Cyperus rotundus",512623,14
"273","Echium amoenum",701470,14
"274","Elaeagnus angustifolia",36777,14
"275","Fritillaria cirrhosa",108544,14
"276","Gongronemopsis tenacissima",187505,14
"277","Laurus nobilis",85223,14
"278","Ligusticum chuanxiong",2689076,14
"279","Lycium chinense",112883,14
"280","Magnolia officinalis",85864,14
"281","Malva sylvestris",145754,14
"282","Polygonatum cyrtonema",195526,14
"283","Rheum australe",284363,14
"284","Rosa canina",74635,14
"285","Senna auriculata",948713,14
"286","Sesamum indicum",4182,14
"287","Tanacetum parthenium",127999,14
"288","Tridax procumbens",318066,14
"289","Abrus precatorius",3816,13
"290","Alpinia zerumbet",97723,13
"291","Aquilaria sinensis",210372,13
"292","Basella alba",3589,13
"293","Berberis vulgaris",258209,13
"294","Bergenia ciliata",278077,13
"295","Brassica rapa",3711,13
"296","Butea monosperma",56060,13
"297","Capsicum annuum",4072,13
"298","Carum carvi",48032,13
"299","Chrysanthemum indicum",146995,13
"300","Cinnamomum aromaticum",119260,13
"301","Cornus officinalis",16906,13
"302","Coscinium fenestratum",483232,13
"303","Cynara cardunculus var. scolymus",59895,13
"304","Dodonaea viscosa",151065,13
"305","Eclipta prostrata",53719,13
"306","Gardenia jasminoides",114476,13
"307","Hellenia speciosa",49577,13
"308","Kelussia odoratissima",2607460,13
"309","Macleaya cordata",56857,13
"310","Monoon longifolium",235806,13
"311","Orthosiphon aristatus",204151,13
"312","Passiflora edulis",78168,13
"313","Penthorum chinense",49684,13
"314","Plantago lanceolata",39414,13
"315","Rheum palmatum",137221,13
"316","Rhodiola crenulata",242839,13
"317","Rubia cordifolia",339321,13
"318","Salvia sclarea",38869,13
"319","Scoparia dulcis",107240,13
"320","Senna tora",362788,13
"321","Ziziphora clinopodioides",751879,13
"322","Achyranthes bidentata",384659,12
"323","Alpinia galanga",94327,12
"324","Astronium urundeuva",261998,12
"325","Berberis aristata",659592,12
"326","Boswellia serrata",613112,12
"327","Curculigo orchioides",681286,12
"328","Cyanthillium cinereum",211151,12
"329","Datura metel",35625,12
"330","Ephedra sinica",33152,12
"331","Fagonia indica",66629,12
"332","Mimosa pudica",76306,12
"333","Moringa stenopetala",161034,12
"334","Panax vietnamensis",106132,12
"335","Peumus boldus",63812,12
"336","Phaleria macrocarpa",223762,12
"337","Rheum tanguticum",137226,12
"338","Sophora tonkinensis",714503,12
"339","Stryphnodendron adstringens",397648,12
"340","Uncaria tomentosa",128375,12
"341","Vitis vinifera",29760,12
"342","Wrightia tinctoria",653463,12
"343","Zanthoxylum bungeanum",328401,12
"344","Acalypha indica",478095,11
"345","Achyrocline saturejoides",3030045,11
"346","Alhagi maurorum",47037,11
