"","sci_name","uid","count"
"1470","Ichnocarpus frutescens",429496,3
"1471","Indigofera aspalathoides",1208125,3
"1472","Indigofera oblongifolia",198899,3
"1473","Inula helenium",55635,3
"1474","Ipomoea aquatica",89636,3
"1475","Ipomoea obscura",89652,3
"1476","Iris pseudacorus",82213,3
"1477","Jasminum grandiflorum",389181,3
"1478","Juglans mandshurica",91218,3
"1479","Juniperus excelsa",758917,3
"1480","Juniperus oxycedrus",69008,3
"1481","Juniperus sabina",224740,3
"1482","Jurinea heteromalla",258793,3
"1483","Justicia beddomei",874447,3
"1484","Kadsura angustifolia",124779,3
"1485","Kadsura heteroclita",124781,3
"1486","Kalanchoe daigremontiana",23013,3
"1487","Kalopanax septemlobus",228393,3
"1488","Koenigia polystachya",467321,3
"1489","Krameria lappacea",228636,3
"1490","Lagerstroemia indica",141186,3
"1491","Lannea coromandelica",1357590,3
"1492","Lanxangia tsao-ko",252867,3
"1493","Laportea bulbifera",1303700,3
"1494","Larix laricina",3326,3
"1495","Larrea divaricata",108399,3
"1496","Lasia spinosa",28475,3
"1497","Lavandula mairei",1461642,3
"1498","Leonotis leonurus",378904,3
"1499","Lepidium didymum",398450,3
"1500","Leucas lavandulifolia",483831,3
"1501","Leucophyllum frutescens",86643,3
"1502","Lilium candidum",83802,3
"1503","Limbarda crithmoides",119182,3
"1504","Limonium sinense",293752,3
"1505","Lindera aggregata",545644,3
"1506","Liparis nervosa",327332,3
"1507","Lippia graveolens",1986359,3
"1508","Lippia integrifolia",925356,3
"1509","Liquidambar formosana",63359,3
"1510","Liquidambar orientalis",63360,3
"1511","Liriope muscari",39529,3
"1512","Lithospermum officinale",475907,3
"1513","Lophatherum gracile",29683,3
"1514","Lotus corniculatus",47247,3
"1515","Ludwigia octovalvis",883788,3
"1516","Luehea divaricata",577011,3
"1517","Lycoris longituba",272140,3
"1518","Lythrum salicaria",13129,3
"1519","Macrotyloma geocarpum",2109663,3
"1520","Maerua oblongifolia",2830726,3
"1521","Magnolia biondii",86725,3
"1522","Magnolia kobus",54732,3
"1523","Malus hupehensis",106556,3
"1524","Malus toringoides",106568,3
"1525","Malvaviscus arboreus",93788,3
"1526","Mammea americana",198777,3
"1527","Mammea siamensis",231913,3
"1528","Manilkara hexandra",233706,3
"1529","Mansoa alliacea",353996,3
"1530","Marsilea quadrifolia",13816,3
"1531","Mauritia flexuosa",93293,3
"1532","Melastoma dodecandrum",130512,3
"1533","Melittis melissophyllum",457147,3
"1534","Mercurialis perennis",3985,3
"1535","Mikania micrantha",192012,3
"1536","Millingtonia hortensis",680227,3
"1537","Mimusops elengi",233715,3
"1538","Monarda citriodora",182379,3
"1539","Monsonia burkeana",1888176,3
"1540","Morella salicifolia",385014,3
"1541","Moringa ovalifolia",161030,3
"1542","Morus nigra",85232,3
"1543","Mucuna pruriens var. utilis",40337,3
"1544","Myoporum bontioides",2292707,3
"1545","Myrsine africana",59982,3
"1546","Myrsine melanophloeos",459861,3
"1547","Nigella damascena",3444,3
"1548","Nitraria retusa",43875,3
"1549","Nitraria tangutorum",357929,3
"1550","Oldenlandia corymbosa",43536,3
"1551","Olea europaea subsp. cuspidata",129566,3
"1552","Onosma bracteata",2201915,3
"1553","Operculina turpethum",197426,3
"1554","Ouret sanguinolenta",292357,3
"1555","Oxystelma esculentum",126763,3
"1556","Paeonia delavayi",40707,3
"1557","Palicourea rigida",96266,3
"1558","Panax japonicus var. bipinnatifidus",45211,3
"1559","Paraixeris denticulata",77561,3
"1560","Parkia biglobosa",889930,3
"1561","Parkia speciosa",148714,3
"1562","Parkia timoriana",139018,3
"1563","Parthenium hysterophorus",183063,3
"1564","Passiflora suberosa",133504,3
"1565","Patrinia villosa",183944,3
"1566","Paulownia tomentosa",39353,3
"1567","Pergularia tomentosa",264979,3
"1568","Periploca aphylla",654402,3
"1569","Periploca forrestii",2306254,3
"1570","Periploca sepium",190712,3
"1571","Petasites japonicus",186965,3
"1572","Petromarula pinnata",239464,3
"1573","Peucedanum ostruthium",52477,3
"1574","Phellodendron chinense",354508,3
"1575","Phlogacanthus thyrsiflorus",526790,3
"1576","Phlomis cashmeriana",997711,3
"1577","Physalis minima",304153,3
"1578","Physalis philadelphica",304130,3
"1579","Phytolacca americana",3527,3
"1580","Picralima nitida",52846,3
"1581","Picrasma quassioides",210334,3
"1582","Piliostigma thonningii",653098,3
"1583","Pilocarpus microphyllus",2743281,3
"1584","Pinellia pedatisecta",199222,3
"1585","Piper amalago",130378,3
"1586","Piper guineense",511543,3
"1587","Pithecellobium dulce",404691,3
"1588","Pittosporum tobira",43073,3
"1589","Plantago indica",197794,3
"1590","Pluchea dioscoridis",264977,3
"1591","Plumbago europaea",114226,3
"1592","Plumeria obtusa",85246,3
"1593","Polygala paniculata",375128,3
"1594","Polygonatum verticillatum",261426,3
"1595","Polyscias fruticosa",50308,3
"1596","Populus balsamifera",73824,3
"1597","Portulacaria afra",86303,3
"1598","Premna latifolia",1401048,3
"1599","Premna odorata",1037421,3
"1600","Premna serratifolia",336939,3
"1601","Prosopis farcta",264982,3
"1602","Prunus mira",151332,3
"1603","Pseudocedrela kotschyi",356281,3
"1604","Pseudowintera colorata",22294,3
"1605","Pterocarpus angolensis",182271,3
"1606","Pueraria montana",132459,3
"1607","Pulicaria jaubertii",557693,3
"1608","Pulmonaria officinalis",136616,3
"1609","Putranjiva roxburghii",28504,3
"1610","Pyracantha crenulata",1044925,3
"1611","Reinwardtia indica",13654,3
"1612","Retama raetam",49837,3
"1613","Rheum spiciforme",240184,3
"1614","Rheum webbianum",284360,3
"1615","Rhizophora mucronata",61149,3
"1616","Rhodiola kirilowii",203008,3
"1617","Rhododendron anthopogonoides",2575812,3
"1618","Rhododendron micranthum",118363,3
"1619","Rhododendron x pulchrum",419384,3
"1620","Ribes diacanthum",207520,3
"1621","Ribes nigrum",78511,3
"1622","Robinia pseudoacacia",35938,3
"1623","Rorida droserifolia",511510,3
"1624","Rostellularia procumbens",859317,3
"1625","Rubus coreanus",321593,3
"1626","Rubus fruticosus",211815,3
"1627","Rubus idaeus",32247,3
"1628","Rumex hastatus",174650,3
"1629","Rumex nepalensis",174652,3
"1630","Rumex nervosus",1213180,3
"1631","Rumex vesicarius",317192,3
"1632","Ruscus hyrcanus",2974054,3
"1633","Ruta angustifolia",452789,3
"1634","Rydingia limbata",483858,3
"1635","Salvia limbata",1685713,3
"1636","Salvia mirzayanii",1571167,3
"1637","Salvia nemorosa",49215,3
"1638","Salvia plebeia",424424,3
"1639","Salvia tebesana",2490791,3
"1640","Salvia verticillata",49220,3
"1641","Salvia yangii",268885,3
"1642","Sambucus ebulus",28503,3
"1643","Sambucus williamsii",180062,3
"1644","Sansevieria trifasciata",39534,3
"1645","Santolina chamaecyparissus",41644,3
"1646","Satureja rechingeri",2184037,3
"1647","Saussurea obvallata",238948,3
"1648","Scutellaria orientalis subsp. bornmuelleri",2858964,3
"1649","Selenicereus undatus",176265,3
"1650","Senna garrettiana",756587,3
"1651","Senna italica",346974,3
"1652","Serjania erecta",3019043,3
"1653","Serjania marginata",1972052,3
"1654","Sesuvium portulacastrum",221166,3
"1655","Shorea robusta",666687,3
"1656","Sida rhombifolia",108377,3
"1657","Solanum incanum",329779,3
"1658","Solanum lycocarpum",329783,3
"1659","Solanum mauritianum",205564,3
"1660","Solanum viarum",215581,3
"1661","Sonchus arvensis",50192,3
"1662","Sophora davidii",49839,3
"1663","Sorbus aucuparia",36599,3
"1664","Sorbus aucuparia subsp. pohuashanensis",691238,3
"1665","Spathodea campanulata",211926,3
"1666","Sphallerocarpus gracilis",109147,3
"1667","Spinacia oleracea",3562,3
"1668","Spiranthes sinensis",117406,3
"1669","Stachys affinis",168825,3
"1670","Stachys byzantina",180010,3
"1671","Stachys cretica",194217,3
"1672","Stemona tuberosa",167572,3
"1673","Strychnos pseudoquina",1040919,3
"1674","Suaeda monoica",224178,3
"1675","Swertia cordata",148628,3
"1676","Swertia corymbosa",1460259,3
"1677","Swertia japonica",137129,3
"1678","Symplocos racemosa",1340885,3
"1679","Syringa vulgaris",34270,3
"1680","Tabernaemontana elegans",761068,3
"1681","Talinum fruticosum",110664,3
"1682","Tamarix dioica",2316125,3
"1683","Tanacetum polycephalum",944772,3
"1684","Taraxacum formosanum",170733,3
"1685","Tephrosia purpurea subsp. apollinea",1390541,3
"1686","Tetracera scandens",640695,3
"1687","Tetraena alba",90538,3
"1688","Tetraena simplex",2499693,3
"1689","Teucrium montanum",1000430,3
"1690","Thottea siliquosa",213843,3
"1691","Thunbergia coccinea",85288,3
"1692","Thymelaea microphylla",224056,3
"1693","Thymus carnosus",2878273,3
"1694","Toxicodendron vernicifluum",4013,3
"1695","Trachyspermum copticum",2865928,3
"1696","Trichilia emetica",43895,3
"1697","Trichopus zeylanicus",167602,3
"1698","Trichosanthes dioica",320667,3
"1699","Trifolium pratense",57577,3
"1700","Turnera ulmifolia",45184,3
"1701","Typha angustifolia",59011,3
"1702","Typhonium flagelliforme",458697,3
"1703","Ulmus davidiana",1297873,3
"1704","Ulmus wallichiana",647291,3
"1705","Vaccinium dunalianum",174251,3
"1706","Vaccinium macrocarpon",13750,3
"1707","Vachellia farnesiana",72368,3
"1708","Vachellia leucophloea",1217422,3
"1709","Vatairea guianensis",948959,3
"1710","Verbascum sinaiticum",2072606,3
"1711","Verbesina encelioides",945253,3
"1712","Veronica persica",138560,3
"1713","Viburnum opulus",85293,3
"1714","Vincetoxicum pycnostelma",228726,3
"1715","Viola betonicifolia",1168213,3
"1716","Viola canescens",1920208,3
"1717","Vitex rotundifolia",413484,3
"1718","Vitis thunbergii",153476,3
"1719","Vuralia turcica",1177745,3
"1720","Wikstroemia indica",714517,3
"1721","Xiquexique gounellei",1756022,3
"1722","Xysmalobium undulatum",219280,3
"1723","Zanthoxylum piperitum",354529,3
"1724","Zingiber montanum",336856,3
"1725","Zingiber purpureum",857215,3
"1726","Zizania latifolia",58934,3
"1727","Ziziphus oxyphylla",1819812,3
"1728","Zuccagnia punctata",191958,3
"1729","Abarema cochliacarpos",1940492,2
"1730","Abrus pulchellus",192852,2
"1731","Abrus pulchellus subsp. cantoniensis",858909,2
"1732","Abutilon theophrasti",3631,2
"1733","Acacia arabica",658885,2
"1734","Acacia ligulata",138025,2
"1735","Acalypha australis",720869,2
"1736","Acalypha hispida",197604,2
"1737","Acampe praemorsa",493943,2
"1738","Acca sellowiana",260130,2
"1739","Acer tegmentosum",57653,2
"1740","Achillea collina",282730,2
"1741","Achillea filipendulina",282736,2
"1742","Achillea nobilis",282753,2
"1743","Acmella paniculata",912614,2
"1744","Aconitum kusnezoffii",239685,2
"1745","Aconitum pendulum",50878,2
"1746","Acorus tatarinowii",123564,2
"1747","Acridocarpus orientalis",217128,2
"1748","Actaea cimicifuga",64032,2
"1749","Actaea dahurica",64029,2
"1750","Actinidia deliciosa",3627,2
"1751","Adenostemma lavenia",1204770,2
"1752","Aerides multiflora",280449,2
"1753","Aerides odorata",331162,2
"1754","Aesculus chinensis var. wilsonii",531827,2
"1755","Agapanthus praecox",186128,2
"1756","Agathosma crenulata",2486845,2
"1757","Agave americana",39510,2
"1758","Agave amica",82206,2
"1759","Ageratum houstonianum",55598,2
"1760","Aglaia odorata",210347,2
"1761","Ailanthus altissimus",2768810,2
"1762","Ailanthus excelsus",1133704,2
"1763","Aitchisonia rosea",392981,2
"1764","Ajania pacifica",159697,2
"1765","Ajuga chamaecistus",1736745,2
"1766","Ajuga decumbens",167911,2
"1767","Ajuga iva",2026104,2
"1768","Ajuga reptans",38596,2
"1769","Albizia kalkora",199156,2
"1770","Albuca bracteata",82047,2
"1771","Alchemilla mollis",32218,2
"1772","Alchornea laxiflora",316698,2
"1773","Alectra sessiliflora",46040,2
"1774","Aleurites moluccanus",123498,2
"1775","Allium chinense",130426,2
"1776","Allium elburzense",543672,2
"1777","Allium jesdianum",70760,2
"1778","Allium mongolicum",165637,2
"1779","Allium saralicum",543704,2
"1780","Allium scorodoprasum",166823,2
"1781","Allophylus spicatus",1194989,2
"1782","Alnus glutinosa",3517,2
"1783","Alnus incana",3516,2
"1784","Alocasia macrorrhizos",4456,2
"1785","Aloe pruinosa",1593103,2
"1786","Aloysia deserticola",2528737,2
"1787","Aloysia triphylla",542672,2
"1788","Alsophila spinulosa",204586,2
"1789","Alternanthera brasiliana",1167232,2
"1790","Alternanthera philoxeroides",381410,2
"1791","Amaranthus spinosus",124765,2
"1792","Ambrosia maritima",1028380,2
"1793","Amburana cearensis",149628,2
"1794","Amelanchier alnifolia",32219,2
"1795","Ammannia baccifera",162022,2
"1796","Amomum subulatum",1008370,2
"1797","Amorpha fruticosa",48131,2
"1798","Ampelopsis japonica",714442,2
"1799","Amphipterygium adstringens",124857,2
"1800","Ananas comosus",4615,2
"1801","Andrographis lineata",592315,2
"1802","Anemone altaica",2291097,2
"1803","Anethum ridolfia",52499,2
"1804","Angelica acutiloba",55605,2
"1805","Angelica biserrata",357970,2
"1806","Aniba rosaeodora",1352902,2
"1807","Anisodus luridus",258458,2
"1808","Anisomeles malabarica",694365,2
"1809","Annona cherimola",49314,2
"1810","Annona reticulata",301862,2
"1811","Anthemis gilanica",589746,2
"1812","Anthriscus cerefolium",40888,2
"1813","Antidesma madagascariense",3128778,2
"1814","Antrocaryon micraster",2708719,2
"1815","Aphanamixis polystachya",201010,2
"1816","Apium leptophyllum",2860399,2
"1817","Aquilaria agallochum",1472648,2
"1818","Aquilaria subintegra",1040645,2
"1819","Aquilegia pubiflora",1291454,2
"1820","Arbutus andrachne",84000,2
"1821","Archidendron clypearia",714486,2
"1822","Archidendron lucidum",1009333,2
"1823","Archidendron pauciflorum",2954247,2
"1824","Arctium tomentosum",4218,2
"1825","Arctotis arctotoides",378681,2
"1826","Ardisia mamillata",587401,2
"1827","Argyrolobium roseum",2052335,2
"1828","Aristolochia contorta",266420,2
"1829","Aristolochia elegans",143780,2
"1830","Aristolochia trilobata",158576,2
"1831","Arnebia benthamii",1037328,2
"1832","Artemisia anomala",714449,2
"1833","Artemisia ciniformis",1338413,2
"1834","Artemisia deserti",1171830,2
"1835","Artemisia frigida",395280,2
"1836","Artemisia haussknechtii",205367,2
"1837","Artemisia indica",318067,2
"1838","Artemisia iwayomogi",265784,2
"1839","Artemisia khorassanica",1338415,2
"1840","Artemisia marschalliana",205371,2
"1841","Artemisia ordosica",1027791,2
"1842","Artemisia rupestris",86317,2
"1843","Artemisia selengensis",637485,2
"1844","Artemisia sieversiana",205378,2
"1845","Artemisia tilesii",200866,2
"1846","Artocarpus camansi",709039,2
"1847","Artocarpus hirsutus",291940,2
"1848","Arum maculatum",4458,2
"1849","Asclepias subulata",528300,2
"1850","Asparagus africanus",983933,2
"1851","Asphodelus aestivus",49698,2
"1852","Aspidopterys obcordata",648862,2
"1853","Aspilia mossambicensis",1932724,2
"1854","Aster indicus",415155,2
"1855","Aster spathulifolius",947974,2
"1856","Astilbe rivularis",657405,2
"1857","Atraphaxis pyrifolia",655491,2
"1858","Ayapana triplinervis",1090619,2
"1859","Azima tetracantha",43153,2
"1860","Azorella trifurcata",52508,2
"1861","Baccaurea ramiflora",566045,2
"1862","Baccharoides lasiopus",83961,2
"1863","Baeckea frutescens",199392,2
"1864","Baliospermum montanum",316758,2
"1865","Ballota nigra",194200,2
"1866","Barleria lupulina",101743,2
"1867","Barleria prionitis",4189,2
"1868","Bassia indica",267517,2
"1869","Bauhinia championii",228514,2
"1870","Bauhinia divaricata",1475373,2
"1871","Bauhinia monandra",653064,2
"1872","Bauhinia purpurea",3806,2
"1873","Bauhinia strychnifolia",228536,2
"1874","Bauhinia tomentosa",204518,2
"1875","Bauhinia ungulata",231278,2
"1876","Bellis perennis",41492,2
"1877","Berberis chitria",411565,2
"1878","Berberis holstii",258171,2
"1879","Berberis koreana",211974,2
"1880","Bergenia ligulata",1523242,2
"1881","Bergenia pacumbis",885521,2
"1882","Betula platyphylla",78630,2
"1883","Biancaea decapetala",191885,2
"1884","Bidens bipinnata",1527831,2
"1885","Bidens odorata",2732724,2
"1886","Bistorta vivipara",371026,2
"1887","Bletilla formosana",466243,2
"1888","Bletilla ochracea",862845,2
"1889","Blighia sapida",259381,2
"1890","Blitum virgatum",240048,2
"1891","Boehmeria nivea",83906,2
"1892","Boerhavia erecta",363203,2
"1893","Boerhavia rubicunda",1205697,2
"1894","Bombax buonopozense",66654,2
"1895","Boophone disticha",112533,2
"1896","Boscia albitrunca",992651,2
"1897","Bosea amherstiana",2741212,2
"1898","Boswellia sacra",173701,2
"1899","Boucerosia umbellata",197243,2
"1900","Bridelia retusa",283087,2
"1901","Bridelia stipularis",577029,2
"1902","Brosimum gaudichaudii",1620273,2
"1903","Brunfelsia grandiflora",1035550,2
"1904","Buchanania lanzan",1357583,2
"1905","Buddleja cordata",168492,2
"1906","Buddleja lindleyana",168497,2
"1907","Bupleurum kaoi",270183,2
"1908","Bupleurum marginatum",359514,2
"1909","Caesalpinia bahamensis",1387576,2
"1910","Caesalpinia pulcherrima",53846,2
"1911","Cakile maritima",220483,2
"1912","Calea ternifolia",1475378,2
"1913","Calea urticifolia",3046117,2
"1914","Calendula tripterocarpa",1565985,2
"1915","Callicarpa macrophylla",536997,2
"1916","Callicarpa nudiflora",1340046,2
"1917","Campomanesia pubescens",375219,2
"1918","Campomanesia xanthocarpa",1365876,2
"1919","Cananga odorata",13393,2
"1920","Capparis fascicularis",992656,2
"1921","Caragana korshinskii",220689,2
"1922","Caralluma diffusa",797395,2
"1923","Cardiocrinum giganteum",83800,2
"1924","Careya arborea",79559,2
"1925","Carissa macrocarpa",403101,2
"1926","Carlina acaulis",538471,2
"1927","Carlina diae",538483,2
"1928","Caroxylon imbricatum",1194693,2
"1929","Caryocar brasiliense",480971,2
"1930","Caryopteris mongholica",201515,2
"1931","Cassia sieberiana",1977551,2
"1932","Cassytha filiformis",121073,2
"1933","Caudanthera edulis",120810,2
"1934","Causonis trifolia",149356,2
"1935","Cedrus atlantica",123597,2
"1936","Cedrus deodara",3322,2
"1937","Celastrus hindsii",489979,2
"1938","Celosia argentea",46112,2
"1939","Celosia cristata",124768,2
"1940","Celtis africana",266494,2
"1941","Centaurea benedicta",50282,2
"1942","Cephalotaxus sinensis",89484,2
"1943","Cercis chinensis",161750,2
"1944","Cereus hildmannianus",432475,2
"1945","Chamaecostus cuspidatus",168191,2
"1946","Chamaecrista absus",592576,2
"1947","Chamaecyparis obtusa",13415,2
"1948","Changium smyrnioides",386280,2
"1949","Chenopodiastrum murale",46091,2
"1950","Chenopodium quinoa",63459,2
"1951","Chiliadenus montanus",1458965,2
"1952","Chionanthus retusus",126362,2
"1953","Chiranthodendron pentadactylon",93756,2
"1954","Chrysanthemum boreale",344871,2
"1955","Chrysanthemum zawadskii",147003,2
"1956","Chrysojasminum humile",126430,2
"1957","Cirsium japonicum",516546,2
"1958","Cissus rotundifolia",416102,2
"1959","Cissus verticillata",289665,2
"1960","Cistanche salsa",161396,2
"1961","Citrus depressa",697036,2
"1962","Citrus hystrix",170989,2
"1963","Citrus macroptera",341932,2
"1964","Clausena harmandiana",159036,2
"1965","Cleistochlamys kirkii",1237197,2
"1966","Clematis florida",231648,2
"1967","Clerodendrum colebrookianum",1262116,2
"1968","Clerodendrum japonicum",167921,2
"1969","Clerodendrum phlomidis",1401053,2
"1970","Clerodendrum trichotomum",54229,2
"1971","Clinopodium macrostemum",192634,2
"1972","Clinopodium mexicanum",2886692,2
"1973","Clinopodium vulgare",204222,2
"1974","Clivia miniata",16049,2
"1975","Cnidoscolus chayamansa",2964567,2
"1976","Coccoloba mollis",1186097,2
"1977","Cocculus hirsutus",421226,2
"1978","Cochlospermum regium",2086536,2
"1979","Coelogyne cantonensis",161864,2
"1980","Cola gigantea",2708769,2
"1981","Colchicum autumnale",45005,2
"1982","Coleonema album",1003999,2
"1983","Coleus madagascariensis",2004482,2
"1984","Coleus strobilifer",2943985,2
"1985","Coleus vettiveroides",2562353,2
"1986","Colquhounia coccinea",457135,2
"1987","Combretum fragrans",578538,2
"1988","Combretum glutinosum",578539,2
"1989","Combretum quadrangulare",2998934,2
"1990","Combretum zeyheri",459860,2
"1991","Commelina forskaolii",3119042,2
"1992","Condea verticillata",986250,2
"1993","Conocarpus erectus",134917,2
"1994","Convolvulus galaticus",1428853,2
"1995","Coptis japonica",3442,2
"1996","Cordia subcordata",163078,2
"1997","Corema album",199168,2
"1998","Corrigiola telephiifolia",1094605,2
"1999","Cosmos bipinnatus",51277,2
"2000","Costus spiralis",328783,2
"2001","Crassocephalum crepidioides",189211,2
"2002","Crassocephalum rubens",627595,2
"2003","Crataegus orientalis",510734,2
"2004","Crateva adansonii",190806,2
"2005","Cratoxylum formosum",198761,2
"2006","Crinum bulbispermum",209086,2
"2007","Crotalaria agatiflora",1127378,2
"2008","Crotalaria longirostrata",1475388,2
"2009","Crotalaria spectabilis",517187,2
"2010","Croton cajucara",323033,2
"2011","Croton conduplicatus",323040,2
"2012","Croton gratissimus",316784,2
"2013","Croton stellatopilosus",431156,2
"2014","Croton tetradenius",2815093,2
"2015","Croton urucurana",518879,2
"2016","Cryptotaenia japonica",48117,2
"2017","Cucumis metuliferus",61886,2
"2018","Cucurbita ficifolia",37645,2
"2019","Cucurbita maxima",3661,2
"2020","Cupressus torulosa",329091,2
"2021","Curatella americana",178812,2
"2022","Curcuma kwangsiensis",136216,2
"2023","Curcuma mangga",379528,2
"2024","Curcuma neilgherrensis",1256165,2
"2025","Curcuma phaeocaulis",136218,2
"2026","Curcuma singularis",1051080,2
"2027","Cuscuta japonica",81913,2
"2028","Cyathula prostrata",221766,2
"2029","Cycas circinalis",3397,2
"2030","Cyclamen persicum",87530,2
"2031","Cyclea peltata",2893873,2
"2032","Cyclopia subternata",155109,2
"2033","Cyclotrichium origanifolium",751777,2
"2034","Cymbidium aloifolium",112603,2
"2035","Cymbopogon khasianus",2024910,2
"2036","Cynanchum annularium",1740897,2
"2037","Cyperus esculentus",1053340,2
"2038","Dactylorhiza maculata",230572,2
"2039","Dahlia pinnata",101596,2
"2040","Daphne mezereum",66680,2
"2041","Daphne tangutica",885948,2
"2042","Davilla elliptica",640648,2
"2043","Decalepis salicifolia",1683472,2
"2044","Dendrobium aphyllum",154290,2
"2045","Dendrobium devonianum",142612,2
"2046","Dendrocalamus strictus",231030,2
"2047","Deverra tortuosa",489439,2
"2048","Dianthus basuticus",746740,2
"2049","Dianthus caryophyllus",3570,2
"2050","Dichocarpum auriculatum",1050242,2
"2051","Dichrocephala integrifolia",1573921,2
"2052","Dicliptera roxburghiana",2052340,2
"2053","Digitalis ferruginea",285817,2
"2054","Digitalis lanata",49450,2
"2055","Digitalis trojana",306087,2
"2056","Dillenia pentagyna",1747698,2
"2057","Dioscorea cayenensis subsp. rotundata",55577,2
"2058","Dioscorea composita",374975,2
"2059","Dioscorea prazeri",323674,2
"2060","Dioscorea villosa",330167,2
"2061","Diplotaxis harra",308281,2
"2062","Diplotaxis simplex",402667,2
"2063","Dittrichia graveolens",1532790,2
"2064","Dodonaea viscosa subsp. angustifolia",379228,2
"2065","Dorstenia psilurus",106723,2
"2066","Dracaena arborea",1280209,2
"2067","Dracocephalum forrestii",2054469,2
"2068","Dracocephalum heterophyllum",768177,2
"2069","Drimys winteri",3419,2
"2070","Dryobalanops aromatica",64575,2
"2071","Dryopteris ramosa",2316116,2
"2072","Duguetia furfuracea",1563425,2
"2073","Duhaldea cappa",313931,2
"2074","Echinops echinatus",909143,2
"2075","Echinops persicus",274431,2
"2076","Echinops ritro",41571,2
"2077","Echium plantagineum",113446,2
"2078","Echium vulgare",34253,2
"2079","Edgeworthia chrysantha",142181,2
"2080","Edgeworthia gardneri",2203444,2
"2081","Egletes viscosa",886975,2
"2082","Elaeis guineensis",51953,2
"2083","Elateriospermum tapos",212299,2
"2084","Eleusine indica",29674,2
"2085","Eleutherococcus brachypus",2291122,2
"2086","Eleutherococcus sessiliflorus",105886,2
"2087","Elsholtzia blanda",1874227,2
"2088","Embelia schimperi",2595069,2
"2089","Endostemon obtusifolius",204114,2
"2090","Ensete superbum",94325,2
"2091","Entada abyssinica",204973,2
"2092","Entada spiralis",489319,2
"2093","Epaltes divaricata",1548595,2
"2094","Ephedra aphylla",191304,2
"2095","Ephedra foliata",302007,2
"2096","Ephedra major",34344,2
"2097","Epidendrum secundum",142309,2
"2098","Epilobium hirsutum",210355,2
"2099","Epimedium elatum",402152,2
"2100","Eplingiella fruticosa",986212,2
"2101","Equisetum ramosissimum",195849,2
"2102","Eremomastax speciosa",37794,2
"2103","Eremophila alternifolia",2652475,2
"2104","Eremophila longifolia",2528947,2
"2105","Erigeron canadensis",72917,2
"2106","Eriocephalus africanus",99050,2
"2107","Eriophyton tibeticum",1449359,2
"2108","Erodium glaucophyllum",337379,2
"2109","Erodium guttatum",337382,2
"2110","Eryngium caeruleum",155275,2
"2111","Eryngium carlinae",463694,2
"2112","Erythrina verna",1954593,2
"2113","Escobedia grandiflora",374683,2
"2114","Eucalyptus obliqua",36592,2
"2115","Eucalyptus tereticornis",183855,2
"2116","Euclea crispa",384959,2
"2117","Euclea divinorum",413790,2
"2118","Eugenia punicifolia",375223,2
"2119","Eugenia pyriformis",421942,2
"2120","Euonymus fortunei",255352,2
"2121","Euonymus laxiflorus",1009469,2
"2122","Eupatorium fortunei",330892,2
"2123","Euphorbia abyssinica",316813,2
"2124","Euphorbia ebracteolata",526193,2
"2125","Euphorbia grantii",213049,2
"2126","Euphorbia granulata",1046465,2
"2127","Euphorbia milii",65559,2
"2128","Euphorbia pekinensis",273621,2
"2129","Euphorbia peplus",38846,2
"2130","Euphorbia prostrata",212836,2
"2131","Euphorbia pulcherrima",37495,2
"2132","Euphorbia wallichii",1333960,2
"2133","Euploca strigosa",248302,2
"2134","Euscaphis japonica",210332,2
"2135","Euscaphis konishii",2081478,2
"2136","Farsetia stylosa",1366957,2
"2137","Fatsia japonica",46397,2
"2138","Ferula assa-foetida",52471,2
"2139","Ferula elaeochytris",662809,2
"2140","Ferula hermonis",662815,2
"2141","Ferula ovina",371376,2
"2142","Ferula songarica",371388,2
"2143","Ferula szowitziana",555415,2
"2144","Ferulago macrocarpa",2583427,2
"2145","Ficus amplissima",479792,2
"2146","Ficus auriculata",100541,2
"2147","Ficus sur",100575,2
"2148","Ficus tikoua",463880,2
"2149","Ficus umbellata",378038,2
"2150","Ficus virens",100580,2
"2151","Flemingia macrophylla",520843,2
"2152","Flemingia strobilifera",634992,2
"2153","Flueggea leucopyrus",319562,2
"2154","Frangula alnus",106677,2
"2155","Fraxinus angustifolia",166594,2
"2156","Fraxinus xanthoxyloides",126421,2
"2157","Fritillaria hupehensis",152089,2
"2158","Fritillaria pallidiflora",152091,2
"2159","Garcinia cowa",180103,2
"2160","Garcinia humilis",2867533,2
"2161","Garcinia imberti",2828657,2
"2162","Gardenia ternifolia",1237590,2
"2163","Gelasia pygmaea",871890,2
"2164","Genipa americana",58486,2
"2165","Gentiana kurroo",1523243,2
"2166","Gentiana manshurica",683755,2
"2167","Gentiana utriculosa",49958,2
"2168","Gentianella acuta",510832,2
"2169","Geoffroea decorticans",107362,2
"2170","Geophila repens",58419,2
"2171","Gerbera piloselloides",41622,2
"2172","Geschollia calcarata",143573,2
"2173","Getonia floribunda",1898706,2
"2174","Geum japonicum",321607,2
"2175","Glaucium flavum",56853,2
"2176","Glebionis coronaria",99038,2
"2177","Glinus lotoides",169249,2
"2178","Glycosmis pentaphylla",76967,2
"2179","Gmelina asiatica",1486856,2
"2180","Gnetum africanum",44929,2
"2181","Gnetum gnemon",3382,2
"2182","Gouania leptostachya",1813008,2
"2183","Grewia biloba",93770,2
"2184","Grewia flavescens",493991,2
"2185","Grewia tenax",2695409,2
