id,plant_name,uid,count,height,part,duration,medicinal_activites,products,population,clinical_trial_count
128,Isatis indigotica,3242077,26,,,,,,,0
129,Dendrobium nobile,94219,25,,,,,,,0
130,Dracocephalum kotschyi,180015,25,,,,,,,0
131,Eleutherococcus senticosus,82096,25,,,,,,,3
132,Fagopyrum tataricum,62330,25,,,,,,,1
133,Kaempferia parviflora,97751,25,,,,,,,1
134,Polygonum cuspidatum,83819,25,,,,,,,2
135,Taraxacum officinale,50225,25,,,,,,,2
136,Tripterygium wilfordii,458696,25,,,,,,,20
137,Astragalus mongholicus,119829,24,,,,,,,0
138,Boerhavia diffusa,930814,24,,,,,,,0
139,Mentha longifolia,38859,24,,,,,,,0
140,Oroxylum indicum,83951,24,,,,,,,1
141,Piper betle,13217,24,,,,,,,0
142,Thymus daenensis,568785,24,,,,,,,0
143,Vachellia nilotica,138033,24,,,,,,,0
144,Artemisia argyi,259893,23,,,,,,,0
145,Bletilla striata,78707,23,,,,,,,0
146,Cassia fistula,53852,23,,,,,,,0
147,Gynostemma pentaphyllum,182084,23,,,,,,,6
148,Lippia alba,320345,23,,,,,,,1
149,Lippia origanoides,542673,23,,,,,,,0
150,Orthosiphon stamineus,260636,23,,,,,,,0
151,Physalis angulata,113208,23,,,,,,,1
152,Pseudostellaria heterophylla,418402,23,,,,,,,0
153,Senna alexandrina,72402,23,,,,,,,27
154,Artemisia absinthium,72332,22,,,,,,,0
155,Carthamus tinctorius,4222,22,,,,,,,29
156,Coptis chinensis,261450,22,,,,,,,2
157,Dracocephalum moldavica,39296,22,,,,,,,0
158,Melia azedarach,155640,22,,,,,,,2
159,Rauvolfia serpentina,4060,22,,,,,,,1
160,Tagetes erecta,13708,22,,,,,,,1
161,Arnica montana,436207,21,,,,,,,17
162,Dendrobium catenatum,906689,21,,,,,,,0
163,Dracocephalum officinale,39324,21,,,,,,,0
164,Eclipta alba,2448053,21,,,,,,,0
165,Guilandina bonduc,191881,21,,,,,,,0
166,Gynura procumbens,648871,21,,,,,,,0
167,Mentha pulegium,294739,21,,,,,,,0
168,Papaver somniferum,3469,21,,,,,,,0
169,Phyllanthus niruri,296034,21,,,,,,,2
170,Saraca asoca,1073321,21,,,,,,,0
171,Satureja hortensis,49987,21,,,,,,,0
172,Withania coagulans,180581,21,,,,,,,1
173,Alstonia scholaris,52822,20,,,,,,,0
174,Anoectochilus roxburghii,569774,20,,,,,,,0
175,Bidens pilosa,42337,20,,,,,,,0
176,Cichorium intybus,13427,20,,,,,,,8
177,Cinnamomum verum,128608,20,,,,,,,51
178,Coleus amboinicus,204180,20,,,,,,,0
179,Commiphora wightii,246360,20,,,,,,,0
180,Cullen corylifolium,429560,20,,,,,,,0
181,Elwendia persica,377494,20,,,,,,,0
182,Kaempferia galanga,97750,20,,,,,,,0
183,Kalanchoe pinnata,80913,20,,,,,,,3
184,Mangifera indica,29780,20,,,,,,,39
185,Mitragyna speciosa,170351,20,,,,,,,8
186,Rhus coriaria,298661,20,,,,,,,3
187,Solanum virginianum,223891,20,,,,,,,0
188,Sophora flavescens,49840,20,,,,,,,0
189,Abelmoschus esculentus,455045,19,,,,,,,1
190,Aconitum carmichaelii,85363,19,,,,,,,0
191,Anethum graveolens,40922,19,,,,,,,2
192,Biancaea sappan,483143,19,,,,,,,0
193,Dendrobium huoshanense,154293,19,,,,,,,2
194,Euphorbia hirta,318062,19,,,,,,,1
195,Eurycoma longifolia,458531,19,,,,,,,2
196,Fallopia multiflora,76025,19,,,,,,,1
197,Hemidesmus indicus,63476,19,,,,,,,0
198,Juglans regia,51240,19,,,,,,,2
199,Lepidium sativum,33125,19,,,,,,,1
200,Marrubium vulgare,41230,19,,,,,,,0
201,Nardostachys jatamansi,179860,19,,,,,,,14
202,Paeonia ostii,459177,19,,,,,,,0
203,Pueraria montana var. lobata,3893,19,,,,,,,12
204,Rosa x damascena,3765,19,,,,,,,3
205,Senna alata,53923,19,,,,,,,2
206,Tropaeolum majus,4020,19,,,,,,,1
207,Viscum album,3972,19,,,,,,,18
208,Agastache rugosa,39271,18,,,,,,,0
209,Angelica dahurica,48101,18,,,,,,,0
210,Apocynum venetum,377125,18,,,,,,,1
211,Cissus quadrangularis,165298,18,,,,,,,1
212,Curcuma caesia,508682,18,,,,,,,0
213,Ficus carica,3494,18,,,,,,,3
214,Gentiana crassa subsp. rigescens,3097545,18,,,,,,,0
215,Moeroris amara,293060,18,,,,,,,0
216,Pelargonium sidoides,1417791,18,,,,,,,3
217,Petroselinum crispum,4043,18,,,,,,,4
218,Piper longum,49511,18,,,,,,,127
219,Salvadora persica,4326,18,,,,,,,4
220,Syzygium aromaticum,219868,18,,,,,,,13
221,Ziziphus spina,3128664,18,,,,,,,0
222,Achyranthes aspera,240005,17,,,,,,,0
223,Anacardium occidentale,171929,17,,,,,,,13
224,Aralia elata,82095,17,,,,,,,0
225,Artemisia dracunculus,72341,17,,,,,,,3
226,Bupleurum chinense,52451,17,,,,,,,0
