,...1,id,plant_name,uid,count,part,duration,products,clinical_trial_count,median_height,pop_status,activities
80,80,80,Morinda citrifolia,43522,33,Fruit,,,8,6.096,LC,442
81,81,81,Myrtus communis,119949,33,Leaves,180,,0,1.135,LC,371
82,82,82,Plantago ovata,185002,33,Seeds,120,,3,0.025,LC,222
83,83,83,Punica granatum,22663,33,Fruit,,,102,6.096,LC,0
84,84,84,Vitex negundo,361442,33,Leaves,365,,1,1.5,LC,0
85,85,85,Capparis spinosa,65558,32,Fruit,730,,0,0.75,LC,479
86,86,86,Citrullus colocynthis,252529,32,Fruit,150-180,,1,1.65,DD,389
87,87,87,Hibiscus sabdariffa,183260,32,Flowers,120,,18,1.5,DD,0
88,88,88,Lantana camara,126435,32,Leaves,90,,0,2,DD,349
89,89,89,Lessertia frutescens,47091,32,Roots,180,,1,1.7,DD,0
90,90,90,Lycium barbarum,112863,32,Fruit ,365,,10,2.25,DD,177
91,91,91,Mentha arvensis,292239,32,Leaves,60,,2,0.41,LC,448
92,92,92,Syzygium cumini,260142,32,Bark,,,2,18.288,LC,0
93,93,93,Teucrium polium,1117157,32,Aerial Parts,120,,0,0.19,DD,381
94,94,94,Annona muricata,13337,31,Leaves,,,6,8,LC,0
95,95,95,Cuminum cyminum,52462,31,Seeds,120,,16,0.25,DD,536
96,96,96,Gymnanthemum amygdalinum,82755,31,Leaves,,,1,8,DD,0
97,97,97,Hippophae rhamnoides,193516,31,Fruit,"1,095",,9,2.375,LC,426
98,98,98,Mucuna pruriens,157652,31,Seeds,,,3,5,DD,72
99,99,99,Swertia chirayita,137887,31,Whole Plant,365,,2,0.75,DD,0
100,100,100,Tetrastigma hemsleyanum,1006121,31,Whole Plant,,,0,5,DD,0
